Year,Semester,Course,Credits
First Year,Fall,MATH 140 or  140G (GQ)*‡#†,4
First Year,Spring,MATH 141 or  141G (GQ)‡†,4
First Year,Fall,CHEM 110 (GN)†,3
First Year,Spring,CHEM 112,3
First Year,Fall,CHEM 111 (GN)†,1
First Year,Spring,CHEM 113,1
First Year,Fall,GEOSC 1,3
First Year,Spring,GEOSC 201*,4
First Year,Fall,EMSC 100S (GWS)‡†1,3
First Year,Spring,"ENGL 15,  30H, or ESL  15 (GWS)‡†",3
Second Year,Fall,PHYS 211 (GN)†,4
Second Year,Spring,PHYS 212,4
Second Year,Fall,GEOSC 202*,4
Second Year,Spring,General Education knowledge domain,3
Second Year,Fall,BIOL 110 (GN)†,4
Second Year,Spring,Advanced GEOSC Elective3,3
Second Year,Fall,General Education knowledge domain,3
Second Year,Spring,General Education Health and Wellness (GHW),1.5
Second Year,Fall,General Education Health and Wellness (GHW),1.5
Second Year,Spring,Advanced MATH/STAT/CMPSC/GEOSC 2102,3
Third Year,Fall,GEOSC 203*,4
Third Year,Spring,GEOSC 465*,4
Third Year,Fall,GEOSC 310*,4
Third Year,Spring,GEOSC 204,4
Third Year,Fall,Supporting Course4,3
Third Year,Spring,Advanced GEOSC elective3,3
Third Year,Fall,General Education knowledge domain,3
Third Year,Spring,General Education knowledge domain3,3
Fourth Year,Fall,GEOSC 496,1
Fourth Year,Spring,GEOSC 494W,3
Fourth Year,Fall,Advanced GEOSC elective3,3
Fourth Year,Spring,Advanced GEOSC elective3,2
Fourth Year,Fall,Advanced GEOSC elective3,3
Fourth Year,Spring,Supporting Course4,3
Fourth Year,Fall,Supporting Course4,3
Fourth Year,Spring,General Education knowledge domain,3
Fourth Year,Fall,General Education Foundation selection (GWS)‡,3
Fourth Year,Spring,General Education knowledge domain,3
