Year,Semester,Course,Credits
First Year,Fall,GLIS 101N*,3
First Year,Spring,GLIS 102N*,3
First Year,Fall,General Education Course,3
First Year,Spring,"CAS 100, CAS  100A, CAS  100B, CAS  100C, ENGL  138T, or CAS  138T‡",3
First Year,Fall,"ENGL 15,  30H, ESL  15, ENGL  137H, or CAS  137H‡",3
First Year,Spring,General Education Course,3
First Year,Fall,World Language Level 1,4
First Year,Spring,World Language Level 2,4
First Year,Fall,General Education Course,3
First Year,Spring,General Education Course (GQ)‡,3
Second Year,Fall,Major Course from List*,3
Second Year,Spring,Major Course from List*,3
Second Year,Fall,General Education Course,3
Second Year,Spring,World Language Level 4 or Second World Language Level 1*,3
Second Year,Fall,General Education Course,3
Second Year,Spring,BA Requirement,3
Second Year,Fall,World Language Level 3,4
Second Year,Spring,General Education Course (GQ)‡,3
Second Year,Fall,General Education Course,3
Second Year,Spring,General Education Course,3
Third Year,Fall,Major Course from List*,3
Third Year,Spring,4XX Level Major Course*,3
Third Year,Fall,World Language Level 5 or Second World Language Level 2*,3
Third Year,Spring,4XX Level Major Course*,3
Third Year,Fall,General Education Course,3
Third Year,Spring,ENGL 202A or  202B‡,3
Third Year,Fall,General Education Course,3
Third Year,Spring,BA World Cultures Course,3
Third Year,Fall,BA Requirement,3
Third Year,Spring,BA Requirement,3
Fourth Year,Fall,4XX Level Major Course*,3
Fourth Year,Spring,4XX Level Major Course*,3
Fourth Year,Fall,GLIS 400Y*,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Writing Across the Curriculum Course,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,General Education Course (GHW),1.5
