Year,Semester,Course,Credits
First Year,Fall,"ENGL 15,  30H, or ESL  15‡",3
First Year,Spring,ECON 102†,3
First Year,Fall,HM 101*†,3
First Year,Spring,HM 271,2
First Year,Fall,HM 202,1
First Year,Spring,HM 272*,2
First Year,Fall,HM 203,1
First Year,Spring,HM 355,3
First Year,Fall,General Education Course (GN),3
First Year,Spring,General Education Course (GH),3
First Year,Fall,General Education Course (Exploration),3
First Year,Spring,General Education Course (Exploration),3
Second Year,Fall,HM 230*,3
Second Year,Spring,HM 290W*,3
Second Year,Fall,HM 235*,3
Second Year,Spring,HM 336,3
Second Year,Fall,HM Elective,3
Second Year,Spring,HM 280*,3
Second Year,Fall,HM 265W*,3
Second Year,Spring,General Education Course (Exploration),3
Second Year,Fall,STAT 100 or  200‡†,3-4
Second Year,Spring,HM Elective,3
Third Year,Fall,"ENGL 202A,  202B,  202C, or  202D (202D is preferred)‡",3
Third Year,Spring,HM 330,3
Third Year,Fall,HM 242*,3
Third Year,Spring,HM 366,3
Third Year,Fall,HM 350*‡†,3
Third Year,Spring,NUTR 100†,3
Third Year,Fall,General Education Course (Integrative Studies: Inter-Domain),3
Third Year,Spring,HM Elective,3
Third Year,Fall,HM Elective,3
Third Year,Spring,General Education Course (GA),3
Fourth Year,Fall,HM 430,3
Fourth Year,Spring,HM 490,3
Fourth Year,Fall,"CAS 100, CAS  100A, CAS  100B, or CAS  100C‡",3
Fourth Year,Spring,HM 4921,1
Fourth Year,Fall,HM Elective,3
Fourth Year,Spring,HM Elective,3
Fourth Year,Fall,HM 480,3
Fourth Year,Spring,HM Elective,4
Fourth Year,Fall,HM Elective,3
Fourth Year,Spring,General Education Course (Integrative Studies: Inter-Domain),3
