Year,Semester,Course,Credits
First Year,Fall,PLSC 14 (IL)*,3
First Year,Spring,"PLSC 3, PLSC 20, or PLSC 22*",3
First Year,Fall,World Language Level 1,4
First Year,Spring,World Language Level 2,4
First Year,Fall,General Education Quantification‡,3
First Year,Spring,General Education Course,3
First Year,Fall,FYS/General Education Course,3
First Year,Spring,General Education Course,3
First Year,Fall,"ENGL 15,  30H,  137H, CAS  137H, or ESL  15 (GWS)‡",3
First Year,Spring,"CAS 100, CAS  100A, CAS  100B, CAS  100C, CAS  138T, or ENGL  138T (GWS)‡",3
Second Year,Fall,PLSC 1 or  7N (US)*,3
Second Year,Spring,PLSC 400-level (non-American),3
Second Year,Fall,World Language Level 3,4
Second Year,Spring,ECON 102 or  104*,3
Second Year,Fall,HIST/GEOG Option*,3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Quantification‡,3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,BA Fields,3
Third Year,Fall,PLSC 400-level (non-American),3
Third Year,Spring,PLSC 400-level (non-American),3
Third Year,Fall,ECON advanced-level option*,3
Third Year,Spring,ECON advanced-level option*,3
Third Year,Fall,General Education Course,3
Third Year,Spring,General Education Course,3
Third Year,Fall,"ENGL 202A,  202B,  202C, or  202D (GWS)‡",3
Third Year,Spring,BA Fields,3
Third Year,Fall,BA Fields,3
Third Year,Spring,Elective (WAC),3
Fourth Year,Fall,PLSC 400-level (non-American),3
Fourth Year,Spring,"PLSC 412,  418,  439, or  442*",3
Fourth Year,Fall,"PLSC 412,  418,  439, or  442*",3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective (OC),3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,General Education Course (GHW),3
