Year,Semester,Course,Credits
First Year,Fall,KINES 101*#2,3
First Year,Spring,"CHEM 101,  106,  110, or  130*†",3-5
First Year,Fall,BIOL 161*†,3
First Year,Spring,KINES 100*#2,3
First Year,Fall,MATH 26*#2,3
First Year,Spring,"STAT 200,  250, or SCM  200*‡#2",3-4
First Year,Fall,"General Education Course (GWS) (ENGL 15, ENGL 30H, ESL 15, ENGL/CAS 137H recommended)‡#2",3
First Year,Spring,"General Education Course (GWS) (CAS 100, CAS 100A, CAS 100B, CAS 100C, ENGL/CAS 138T recommended)‡",3
First Year,Fall,General Education Course (GA),3
First Year,Spring,General Education Course (Integrative Studies: Inter-Domain),3
Second Year,Fall,KINES 200*,3
Second Year,Spring,KINES 201*,3
Second Year,Fall,KINES 202*#2,3
Second Year,Spring,BIOL 163*†,3
Second Year,Fall,KINES 295B*#2,1
Second Year,Spring,NUTR 251*†,3
Second Year,Fall,KINES 321*,3
Second Year,Spring,PHYS 250 or  150*,3-4
Second Year,Fall,PSYCH 100*#†2,3
Second Year,Spring,KINES 345*,3
Second Year,Fall,"General Education Course (Integrative Studies: Inter-Domain)#†1,2",3
Second Year,Spring,KINES 267*,1
Third Year,Fall,EDPSY 10*#†2,3
Third Year,Spring,CI 280*†,3
Third Year,Fall,KINES 341*,3
Third Year,Spring,KINES 360*,3
Third Year,Fall,KINES 350*,3
Third Year,Spring,KINES 384*,3
Third Year,Fall,KINES 367*,1
Third Year,Spring,KINES 456*,4
Third Year,Fall,KINES 368*,2
Third Year,Spring,General Education Course (GWS) (ENGL 202A or 202D suggested)‡,3
Fourth Year,Fall,KINES 366*,3
Fourth Year,Spring,KINES 495A*,12
