Year,Semester,Course,Credits
First Year,Fall,"ENGL 15,  30H, or  137H‡",3
First Year,Spring,"CAS 100, CAS  138T, or ENGL  138T‡",3
First Year,Fall,General Education Course (GA),3
First Year,Spring,LHR 100*,3
First Year,Fall,General Education Course (GS) - PSYCH 100 suggested,3
First Year,Spring,PSYCH 281 or LHR  202*†1,3
First Year,Fall,General Education Course (GN - Inter-Domain),3
First Year,Spring,"ECON 14,  102, or  104 (GS)*†",3
First Year,Fall,First-Year Seminar (GH),3
First Year,Spring,General Education Course (GQ)‡,3
Second Year,Fall,General Education Course - STAT 200 or SCM 200 (GQ)‡,4
Second Year,Spring,General Education Course (GN),3
Second Year,Fall,General Education Course (GA),3
Second Year,Spring,General Education Course (GH - Inter-Domain),3
Second Year,Fall,Supporting Course*,3
Second Year,Spring,LHR 312*,3
Second Year,Fall,LHR 201*,3
Second Year,Spring,LHR 305*,3
Second Year,Fall,Elective,3
Second Year,Spring,Supporting Course*,3
Third Year,Fall,"ENGL 202A,  202B,  202C, or  202D‡",3
Third Year,Spring,LHR 4XX - Prescribed HR Option Course*2,3
Third Year,Fall,LHR 304*,3
Third Year,Spring,LHR 4XX*,3
Third Year,Fall,LHR 4XX - Prescribed HR Option Course*2,3
Third Year,Spring,Supporting Course*,3
Third Year,Fall,Elective,3
Third Year,Spring,General Education Course (GN),3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,LHR 460*,3
Fourth Year,Spring,"AFAM/LHR/WMNST 136Y, HIST  458Y, or LHR  458Y*",3
Fourth Year,Fall,LHR 4XX - Prescribed HR Option Course*2,3
Fourth Year,Spring,LHR 4XX*,3
Fourth Year,Fall,LHR 4XX - Prescribed HR Option Course*2,3
Fourth Year,Spring,LHR 4XX*,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,2
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,General Education Course (GHW),1.5
