Year,Semester,Course,Credits
First Year,Fall,HORT 101*‡†,3
First Year,Spring,"AGBM 101, ECON  14, ECON  102, or ECON  104†",3
First Year,Fall,"ENGL 15,  30H, or ESL  15‡†",3
First Year,Spring,MATH 26‡†,3
First Year,Fall,AG 150,2
First Year,Spring,LARCH 60†,3
First Year,Fall,General Education Course,3
First Year,Spring,"CAS 100, CAS  100A, CAS  100B, or CAS  100C‡†",3
First Year,Fall,General Education Course,3
First Year,Spring,General Education Course,3
Second Year,Fall,BIOL 127 or  110†,3-4
Second Year,Spring,SOILS 101†,3
Second Year,Fall,EDSGN 10,1
Second Year,Spring,ACCTG 211,4
Second Year,Fall,"SPAN 1,  2, or  105",4
Second Year,Spring,HORT 220*,3
Second Year,Fall,BA 250,3
Second Year,Spring,ART 20†,3
Second Year,Fall,HORT 137,3
Second Year,Spring,General Education Coures (GHW),1.5
Third Year,Fall,CHEM 101,2-3
Third Year,Spring,HORT 464*,4
Third Year,Fall,HORT 138*,3
Third Year,Spring,HORT 408*,4
Third Year,Fall,HORT 269*,3
Third Year,Spring,PLANT 217,3
Third Year,Fall,TURF 100 or  235,3
Third Year,Spring,"ENT 313,  314, HORT  238, PPEM  300, or PPEM  318",2-3
Third Year,Fall,General Education Course (GHW),1.5
Third Year,Spring,ENGL 202D‡†,3
Fourth Year,Fall,HORT 466*,5
Fourth Year,Spring,HORT 368*,4
Fourth Year,Fall,HORT 131*,3
Fourth Year,Spring,HORT 468*,2
Fourth Year,Fall,HORT 410W,3
Fourth Year,Spring,MKTG 220 or AGBM 220,3
Fourth Year,Fall,BLAW 243,3
Fourth Year,Spring,Elective,3-6
