Year,Semester,Course,Credits
First Year,Fall,General Education Course (GWS)‡,3
First Year,Spring,Course in LATAM Related Topic*1,3
First Year,Fall,Course in LATAM Related Topic*1,3
First Year,Spring,HIST 178 (GH)*†,3
First Year,Fall,ANTH 45N (GS)*†,3
First Year,Spring,General Education Course,3
First Year,Fall,General Education Course (GQ)‡†,3
First Year,Spring,General Education Course (GQ)‡,3
First Year,Fall,SPAN 1†2,4
First Year,Spring,SPAN 2†2,4
Second Year,Fall,General Education Course (GWS)‡,3
Second Year,Spring,SPAN 131*,3
Second Year,Fall,Course in LATAM Related Topic*2,3
Second Year,Spring,PORT 1*,4
Second Year,Fall,HIST 179 (GH)*†,3
Second Year,Spring,General Education Course†,3
Second Year,Fall,General Education Course†,3
Second Year,Spring,General Education Course†,3
Second Year,Fall,SPAN 3†2,4
Second Year,Spring,SPAN 100†2,3
Third Year,Fall,400 Level Course in LATAM Related Topic*1,3
Third Year,Spring,400 Level Course in LATAM Related Topic*1,3
Third Year,Fall,SPAN 200*,3
Third Year,Spring,General Education Course (GWS)‡,3
Third Year,Fall,General Education Course†,3
Third Year,Spring,General Education Course†,3
Third Year,Fall,BA Requirement†,3
Third Year,Spring,Elective3,3
Third Year,Fall,Elective3,3
Third Year,Spring,Elective3,3
Fourth Year,Fall,400 Level Course in LATAM Related Topic*1,3
Fourth Year,Spring,Elective3,3
Fourth Year,Fall,PLSC 456*,3
Fourth Year,Spring,Elective3,3
Fourth Year,Fall,BA World Cultures†1,3
Fourth Year,Spring,Elective3,3
Fourth Year,Fall,BA Requirement†,3
Fourth Year,Spring,Elective3,3
Fourth Year,Fall,General Education Course (GHW)†,1.5
Fourth Year,Spring,General Education Course (GHW)†,1.5
