Year,Semester,Course,Credits
First Year,Fall,"ENGL 15,  30H,  137H, CAS  137H, or ESL  15 (GWS)‡",3
First Year,Spring,"CAS 100, CAS  100A, CAS  100B, CAS  100C, CAS  138T, or ENGL  138T (GWS)‡",3
First Year,Fall,LING 100 (IL/US)*,3
First Year,Spring,General Education Course (GQ)‡,3
First Year,Fall,General Education Course,3
First Year,Spring,Linguistics Social Science Requirement*,3
First Year,Fall,World Language Level 1,4
First Year,Spring,World Language Level 2,4
First Year,Fall,Elective,3
First Year,Spring,Elective,3
Second Year,Fall,LING 404‡,3
Second Year,Spring,LING 402*,3
Second Year,Fall,General Education Course,3
Second Year,Spring,STAT 200 (GQ)‡†,4
Second Year,Fall,General Education Course,3
Second Year,Spring,BA Field Course,3
Second Year,Fall,World Language Level 3,4
Second Year,Spring,BA Field Course,3
Second Year,Fall,Elective,3
Second Year,Spring,Elective,3
Third Year,Fall,LING 449*,3
Third Year,Spring,Non-English Linguistics Course*,3
Third Year,Fall,ENGL 202‡,3
Third Year,Spring,General Education Course,3
Third Year,Fall,General Education Course,3
Third Year,Spring,BA Field Course,3
Third Year,Fall,General Education Course,3
Third Year,Spring,BA World Cultures Course,3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,Any LING 4XX Course*,3
Fourth Year,Spring,Any LING 4XX Course*,3
Fourth Year,Fall,Related Area Course*,3
Fourth Year,Spring,Related Area Course*,3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,Elective,2
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,General Education Course (GHW),1.5
