Year,Semester,Course,Credits
First Year,Fall,PSU 6,1
First Year,Spring,"MGMT 3011,2",3
First Year,Fall,"(MATH 110 or MATH 140) or (SCM 200 or STAT 200) (GQ)1,2",4
First Year,Spring,"(SCM 200 or STAT 200) or (MATH 110 or MATH 140) (GQ)1,2",4
First Year,Fall,"ENGL 15,  30H, ESL  15, ENGL  137H, or CAS  137H1,2",3
First Year,Spring,World Language - Level Two (8th credit level)3,4
First Year,Fall,ECON 102 (GS)2,3
First Year,Spring,General Education Course (US)4,3
Second Year,Fall,"MKTG 3011,2",3
Second Year,Spring,"FIN 3011,2",3
Second Year,Fall,"ACCTG 2111,2",4
Second Year,Spring,SCM 301,3
Second Year,Fall,ECON 104,3
Second Year,Spring,"CAS 100, ENGL  138T, or CAS  138T1",3
Second Year,Fall,World Language - Level Three (12th credit level)3,4
Second Year,Spring,MIS 250,3
Second Year,Fall,General Education Course (IL)4,3
Second Year,Spring,General Education Course4,3
Third Year,Fall,"MGMT 326 (or MGMT 3XX or MGMT 4XX - Management Elective)1,6",3
Third Year,Spring,MGMT 326 (or MGMT 3XX or MGMT 4XX - Management Elective or BA 441)1,3
Third Year,Fall,"BA 441 (or MGMT 4XX - Management Elective)1,6",3
Third Year,Spring,"MGMT 451W (or MGMT 4XX - Management Elective or BA 441)1,6",3
Third Year,Fall,ENGL 202D1,3
Third Year,Spring,Business Breadth Course5,3
Third Year,Fall,BA 342,3
Third Year,Spring,BLAW 341,3
Third Year,Fall,General Education Course4,3
Third Year,Spring,General Education Course4,3
Fourth Year,Fall,"MGMT 451W (or MGMT 4XX - Management Elective or BA 441)1,6",3
Fourth Year,Spring,MGMT 4811,3
Fourth Year,Fall,BA 411 (or Business Breadth Course)5,3
Fourth Year,Spring,BA 411 (or Business Breadth Course)5,3
Fourth Year,Fall,General Education Course4,3
Fourth Year,Spring,General Education Course4,3
Fourth Year,Fall,General Education Course (N)4,3
Fourth Year,Spring,General Education Course4,3
Fourth Year,Fall,Elective4,2
Fourth Year,Spring,Elective4,3
