Year,Semester,Course,Credits
First Year,Fall,MATH 140 or  140G (GQ)*‡#†2,4
First Year,Spring,MATH 141 or  141G (GQ)*‡#†2,4
First Year,Fall,CHEM 110 (GN)*#†2,3
First Year,Spring,MATSE 112 or CHEM  112 (GN)*#2,3
First Year,Fall,CHEM 111 (GN)*#†2,1
First Year,Spring,CHEM 113*#2,1
First Year,Fall,EMSC 100S (or CAS 100 by substitution) (GWS)‡†1,3
First Year,Spring,PHYS 211 (GN)*#†2,4
First Year,Fall,General Education Knowledge Domain (IL),3
First Year,Spring,"ENGL 15,  30H, or ESL  15 (GWS)‡†",3
Second Year,Fall,PHYS 212 (GN)†,4
Second Year,Spring,MATH 251,4
Second Year,Fall,CHEM 202,3
Second Year,Spring,IE 424 or STAT  4013,3
Second Year,Fall,MATH 220*#2,3
Second Year,Spring,MATSE 202*,3
Second Year,Fall,MATH 231,2
Second Year,Spring,MATSE 203 or ENGL  202C (GWS)‡†,3
Second Year,Fall,MATSE 201*,3
Second Year,Spring,MATSE 413,3
Third Year,Fall,MATSE 400*,3
Third Year,Spring,MATSE 402*,3
Third Year,Fall,MATSE 401*,3
Third Year,Spring,MATSE 419,3
Third Year,Fall,MATSE 430*,3
Third Year,Spring,MATSE 492W (Writing Across the Curriculum)*,3
Third Year,Fall,MATSE 436,3
Third Year,Spring,MATSE 462,1
Third Year,Fall,MATSE 460,1
Third Year,Spring,MATSE Specialization Course 1 from Department List,3
Third Year,Fall,General Education Knowledge Domain (US),3
Third Year,Spring,General Education Knowledge Domain (Integrative),3
Fourth Year,Fall,MATSE 493W or  494W4,3-0 or 2
Fourth Year,Spring,MATSE 493W or  494W4,0-3 or 1
Fourth Year,Fall,MATSE Specialization Course 2 from Department List,3
Fourth Year,Spring,MATSE Specialization Course 3 from Department List,3
Fourth Year,Fall,Technical Elective 1,3
Fourth Year,Spring,MATSE Specialization Course 4 from Department List,3
Fourth Year,Fall,Technical Elective 2,3
Fourth Year,Spring,Technical Elective 3,3
Fourth Year,Fall,MATSE Senior Processing Laboratory (can be taken fall or spring),0-1
Fourth Year,Spring,Technical Elective 4,3
Fourth Year,Fall,General Education Knowledge Domain,3
Fourth Year,Spring,MATSE Senior Processing Laboratory (can be taken fall or spring),1-0
Fourth Year,Fall,General Education Health and Wellness (GHW),1.5
Fourth Year,Spring,General Education Knowledge Domain,3
