Year,Semester,Course,Credits
First Year,Fall,MEDVL 107*,3
First Year,Spring,MEDVL 108*,3
First Year,Fall,General Education Course (GWS)‡,3
First Year,Spring,General Education Course,3
First Year,Fall,General Education Course,3
First Year,Spring,General Education Course,3
First Year,Fall,General Education Course (GQ)‡,3
First Year,Spring,General Education Course (GQ)‡,3
First Year,Fall,World Language Level 1,4
First Year,Spring,World Language Level 2,4
Second Year,Fall,General Education Course (GWS)‡,3
Second Year,Spring,Course at Any Level in Related Area*,3
Second Year,Fall,Course at Any Level in Related Area*,3
Second Year,Spring,Course at Any Level in Related Area*,3
Second Year,Fall,General Education Course,3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,General Education Course,3
Second Year,Fall,World Language Level 3,4
Second Year,Spring,B.A. Knowledge Domains,3
Third Year,Fall,400-Level Course in MEDVL or Related Area*,3
Third Year,Spring,General Education Course (GWS)‡,3
Third Year,Fall,Course at Any Level in Related Area*,3
Third Year,Spring,400-Level Course in MEDVL or Related Area*,3
Third Year,Fall,General Education Course,3
Third Year,Spring,General Education Course,3
Third Year,Fall,B.A. Knowledge Domains,3
Third Year,Spring,Elective,3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,400-Level Course in MEDVL or Related Area*,3
Fourth Year,Spring,400-Level Course in MEDVL or Related Area*,3
Fourth Year,Fall,World Cultures,3
Fourth Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,B.A. Knowledge Domains,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,3
