Year,Semester,Course,Credits
First Year,Fall,MATH 140 or  140G (GQ)‡†,4
First Year,Spring,MATH 141 or  141G (GQ)‡†,4
First Year,Fall,CHEM 110 (GN)†,3
First Year,Spring,"CMPSC 200,  201, or  203",3
First Year,Fall,CHEM 111 (GN)†,1
First Year,Spring,"ENGL 15,  30H, or ESL  15 (GWS)‡†",3
First Year,Fall,EMSC 100S (or CAS 100 by substitution) (GWS)‡†1,3
First Year,Spring,PHYS 211 (GN)†,4
First Year,Fall,EDSGN 100,3
First Year,Spring,"PHIL 103,  106,  107, or  233 (GH)†",3
Second Year,Fall,PHYS 212 (GN)†,4
Second Year,Spring,PHYS 213,2
Second Year,Fall,EMCH 210,5
Second Year,Spring,EMCH 212,3
Second Year,Fall,MNG 223 or CE  209,2
Second Year,Spring,EME 301 or ME  201,3
Second Year,Fall,MATH 250,3
Second Year,Spring,MATH 220 or  231,2
Second Year,Fall,GEOSC 1*,3
Second Year,Spring,EME 210 or STAT  401,3
Third Year,Fall,EE 211,3
Third Year,Spring,MNPR 301*,3
Third Year,Fall,GEOSC 201,4
Third Year,Spring,MNG 422,3
Third Year,Fall,EME 460 or MNG  412,3
Third Year,Spring,MNG 331,3
Third Year,Fall,EME 303,3
Third Year,Spring,MNG 441*,3
Third Year,Fall,ENGL 202C (GWS)‡†,3
Third Year,Spring,General Education Knowledge Domain,3
Third Year,Fall,General Education Health and Wellness (GHW),1.5
Third Year,Spring,MNG 404,2
Fourth Year,Fall,MNG 411,2
Fourth Year,Spring,MNG 451W (Part 2) (Writing across the curriculum)*,2
Fourth Year,Fall,MNG 410,3
Fourth Year,Spring,General Education Knowledge Domain,3
Fourth Year,Fall,MNG 451W (Part 1) (Writing across the curriculum)*,2
Fourth Year,Spring,General Education Knowledge Domain,3
Fourth Year,Fall,GEOSC 470W,3
Fourth Year,Spring,MNG Technical Elective from Approved Department List2,3
Fourth Year,Fall,MNPR 413*,1
Fourth Year,Spring,General Education Health and Wellness (GHW),1.5
