Year,Semester,Course,Credits
First Year,Fall,"ENGL 15,  30H, ESL  15, ENGL  137H, or CAS  137H‡",3
First Year,Spring,"CAS 100, ENGL  138T, or CAS  138T‡",3
First Year,Fall,Foreign Language (Level 1),4
First Year,Spring,General Education Quantification Course (GQ)‡,3
First Year,Fall,General Education Quantification (GQ)‡,3
First Year,Spring,Foreign Language (Level 2),4
First Year,Fall,General Education Course,3
First Year,Spring,General Education Course,3
First Year,Fall,First-Year Seminar,3
First Year,Spring,General Education Course,3
Second Year,Fall,Core course for major*,3
Second Year,Spring,Major Core Course*,3
Second Year,Fall,Major Option Course*,3
Second Year,Spring,Major Option Course*,3
Second Year,Fall,BA World Cultures Course,3
Second Year,Spring,General Education Course,3
Second Year,Fall,World Language (Level 3),4
Second Year,Spring,General Education Course,3
Second Year,Fall,Elective,3
Second Year,Spring,BA Knowldege Domains Course,3
Third Year,Fall,Major Core Course*,3
Third Year,Spring,Major Core Course*,3
Third Year,Fall,Major Option Course*,3
Third Year,Spring,Major Option Course*,3
Third Year,Fall,General Education Course,3
Third Year,Spring,"ENGL 202A,  202B,  202C, or  202D‡",3
Third Year,Fall,BA Knowledge Domains Course,3
Third Year,Spring,General Education Course,3
Third Year,Fall,Elective course,3
Third Year,Spring,General Education Course,3
Fourth Year,Fall,Major Option Course*,3
Fourth Year,Spring,Major Capstone Course*,3
Fourth Year,Fall,Major Option Course*,3
Fourth Year,Spring,Major Option Course*,3
Fourth Year,Fall,BA Knowledge Domain Course,3
Fourth Year,Spring,General Education Health and Wellness (GHW),1.5
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,General Education Health and Wellness (GHW),1.5
Fourth Year,Spring,Elective,3
