Year,Semester,Course,Credits
First Year,Fall,MATH 140 or  140G (GQ)*‡#†,4
First Year,Spring,MATH 141 or  141G (GQ)*‡#†,4
First Year,Fall,CHEM 110 (GN)*#†,3
First Year,Spring,"ENGL 15,  30H, or ESL  15 (GWS)‡†",3
First Year,Fall,CHEM 111 (GN)†,1
First Year,Spring,CHEM 112*,3
First Year,Fall,EMSC 100S (or CAS 100 by substitution) (GWS)‡†1,3
First Year,Spring,PHYS 211 (GN)*#†,4
First Year,Fall,ECON 102 (GS)†,3
First Year,Spring,General Education Knowledge Domain,3
Second Year,Fall,PHYS 212 (GN)*†,4
Second Year,Spring,PNG 301,3
Second Year,Fall,EMCH 210,5
Second Year,Spring,MATH 220,2
Second Year,Fall,MATH 251,4
Second Year,Spring,MATH 231,2
Second Year,Fall,EME 210 or CMPSC  201,3
Second Year,Spring,EMCH 212,3
Third Year,Fall,PNG 405*,3
Third Year,Spring,PNG 450*,3
Third Year,Fall,PNG 406*,1
Third Year,Spring,PNG 451*,1
Third Year,Fall,EME 301*,3
Third Year,Spring,PNG 475*,3
Third Year,Fall,EME 303*,3
Third Year,Spring,GEOSC 454,3
Third Year,Fall,PNG 440W (Writing across the curriculum),3
Third Year,Spring,PNG 410*,3
Third Year,Fall,ENGL 202C (GWS)‡†,3
Third Year,Spring,Technical Elective from approved department list2,3
Fourth Year,Fall,PNG 420,3
Fourth Year,Spring,PNG 425,3
Fourth Year,Fall,PNG 430,3
Fourth Year,Spring,PNG 490,3
Fourth Year,Fall,EME 460,3
Fourth Year,Spring,Technical Elective from approved department list2,3
Fourth Year,Fall,PNG 480,3
Fourth Year,Spring,General Education Knowledge Domain,3
Fourth Year,Fall,PNG 482,1
Fourth Year,Spring,General Education Health and Wellness (GHW),1.5
Fourth Year,Fall,General Education Health and Wellness (GHW),1.5
Fourth Year,Spring,General Education Knowledge Domain,3
