Year,Semester,Course,Credits
First Year,Fall,"ENGL 15,  30H, ESL  15, ENGL  137H, or CAS  137H‡",3
First Year,Spring,1-100 level PHIL Course,3
First Year,Fall,First Year Seminar,3
First Year,Spring,General Education Course,3
First Year,Fall,World Language Level 1,4
First Year,Spring,General Education Course,3
First Year,Fall,1-100 level PHIL Course,3
First Year,Spring,World Language Level 2,4
First Year,Fall,General Education Quantification Course‡,3
First Year,Spring,General Education Quantification Course‡,3
Second Year,Fall,"CAS 100, ENGL  138T, or CAS  138T‡",3
Second Year,Spring,PHIL 12*,3
Second Year,Fall,Concentration Course*,3
Second Year,Spring,Concentration Course*,3
Second Year,Fall,General Education Course,3
Second Year,Spring,General Education Course,3
Second Year,Fall,World Language Level 3,4
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,BA Knowledge Domain Course,3
Third Year,Fall,Concentration Course*,3
Third Year,Spring,Concentration Course*,3
Third Year,Fall,General Education Course,3
Third Year,Spring,"ENGL 202A,  202B,  202C, or  202D‡",3
Third Year,Fall,BA Knowledge Domain Course,3
Third Year,Spring,General Education Course,3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,Concentration Course*,3
Fourth Year,Spring,Concentration Course*,3
Fourth Year,Fall,Concentration Course,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,BA World Cultures,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,BA Knowledge Domain Course,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,General Education Health and Wellness (GHW),1.5
Fourth Year,Spring,General Education Health and Wellness (GHW),1.5
