Year,Semester,Course,Credits
First Year,Fall,MATH 110 or  140 (GQ)*‡†,4
First Year,Spring,"CMPSC 101,  131, or  203 (GQ)*‡†",3
First Year,Fall,PLSC 10 (GS)*,3
First Year,Spring,"PLSC 1,  3,  7N,  14, or  17N*",3
First Year,Fall,"PLSC 1,  3,  7N,  14, or  17N*",3
First Year,Spring,General Education Course,3
First Year,Fall,FYS/General Education Course,3
First Year,Spring,General Education Course,3
First Year,Fall,"ENGL 15,  30H,  137H, CAS  137H, or ESL  15 (GWS)‡",3
First Year,Spring,"CAS 100, CAS  100A, CAS  100B, CAS  100C, CAS  138T, or ENGL  138T (GWS)‡",3
Second Year,Fall,STAT 184,2
Second Year,Spring,PLSC 308*,3
Second Year,Fall,"PLSC 1,  3,  7N,  14, or  17N*",3
Second Year,Spring,PLSC 400-Level*1,3
Second Year,Fall,PLSC 309*,3
Second Year,Spring,Related Course In Consultation with Adviser*,3
Second Year,Fall,General Education Course (IL),3
Second Year,Spring,General Education Course (US),3
Second Year,Fall,General Education Course,3
Second Year,Spring,General Education Course,3
Third Year,Fall,PLSC 400-Level*1,3
Third Year,Spring,PLSC 400-Level*1,3
Third Year,Fall,PLSC 400-Level*1,3
Third Year,Spring,Methodology Course*,3
Third Year,Fall,Related Course in Consultation with Adviser*,3
Third Year,Spring,Related Course in Consultation with Adviser*,3
Third Year,Fall,"ENGL 202A,  202B,  202C, or  202D (GWS)‡",3
Third Year,Spring,General Education Course,3
Third Year,Fall,General Education Course,3
Third Year,Spring,Elective,3
Fourth Year,Fall,PLSC 400-Level*1,3
Fourth Year,Spring,PLSC Capstone*,3
Fourth Year,Fall,Methodology Course*,3
Fourth Year,Spring,PLSC 400-Level*1,3
Fourth Year,Fall,Related Course in Consultation with Adviser*,3
Fourth Year,Spring,Methodology Course*,3
Fourth Year,Fall,Elective (WAC),3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,General Education Course (GHW),3
