Year,Semester,Course,Credits
First Year,Fall,BIOL 110 (GN)*#†,4
First Year,Spring,BIOL 230W*#,4
First Year,Fall,CHEM 110 (GN)*#†,3
First Year,Spring,CHEM 112 (GN)*#†,3
First Year,Fall,CHEM 111 (GN)*#†,1
First Year,Spring,CHEM 113 (GN)*#†,1
First Year,Fall,"ENGL 15,  30H, or ESL  15 (GWS)‡",3
First Year,Spring,MATH 141B or  141 (GQ)*‡#†,4
First Year,Fall,MATH 140B or  140 (GQ)*‡#†,4
First Year,Spring,PSYCH 100 (GS)†,3
Second Year,Fall,CHEM 210*#,3
Second Year,Spring,BIOL 240W,4
Second Year,Fall,HPA 101,3
Second Year,Spring,CHEM 212*,3
Second Year,Fall,PHYS 211 or  250*,4
Second Year,Spring,PHYS 212 or  251*,4
Second Year,Fall,SOC 1 (GS)†,3
Second Year,Spring,General Education Course,3
Second Year,Fall,STAT 250 (Consult with an adviser for alternative options),3
Second Year,Spring,Healthcare Internship,1
Third Year,Fall,BMB 401*,3
Third Year,Spring,BIOL 472 (Consult with an adviser for alternative options)*,3
Third Year,Fall,CHEM 213W*,2
Third Year,Spring,BIOL 473 (Consult with an adviser for alternative options)*,2
Third Year,Fall,PHIL/BIOET 432 (Consult with an adviser for alternative options),3
Third Year,Spring,BMB 402 (Consult with an adviser for alternative options)*,3
Third Year,Fall,PHYS 213 (or Supporting Course)*,2
Third Year,Spring,NUTR 251 (GHW)*†,3
Third Year,Fall,PHYS 214 (or Supporting Course)*,2
Third Year,Spring,"ENGL 202C,  202A,  202B, or  202D (GWS)‡",3
Fourth Year,Fall,"CAS 100A,  100B, or  100C (GWS)‡",3
Fourth Year,Spring,400-Level Supporting Course (Area of Concentration),3
Fourth Year,Fall,400-Level Supporting Course (Area of Concentration),3
Fourth Year,Spring,Supporting Course (Area of Concentration),3
Fourth Year,Fall,Supporting Course (Area of Concentration),3
Fourth Year,Spring,Supporting Course (Consult with adviser for options),3
Fourth Year,Fall,Supporting Course (Consult with adviser for options),3
Fourth Year,Spring,Supporting Course (Consult with adviser for options),2
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,General Edcuation Course,3
