Year,Semester,Course,Credits
First Year,Fall,"ENGL 15,  30H, ESL  15, ENGL  137H, or CAS  137H‡",3
First Year,Spring,"CAS 100, ENGL  138T, or CAS  138T‡",3
First Year,Fall,PSYCH 100*#,3
First Year,Spring,"PSYCH 2XX Level (Group A, B, C or Additional)*",3
First Year,Fall,General Education Course (GQ)*‡#†,3
First Year,Spring,General Education Course (GHW),1.5
First Year,Fall,First-Year Seminar,3
First Year,Spring,General Education Course (GS)#*,3
First Year,Fall,Option Course*,3
First Year,Spring,STAT 200 or PSYCH  200*#,4
Second Year,Fall,"PSYCH 2XX Level (Group A, B, C or Additional)*",3
Second Year,Spring,PSYCH 105*,3
Second Year,Fall,General Education Course (Integrative Studies),3
Second Year,Spring,Option Course*,3
Second Year,Fall,General Education Course (GQ)*‡†,3
Second Year,Spring,"PSYCH 2XX Level (Group A, B, C or Additional)*",3
Second Year,Fall,General Education Course (IL),3
Second Year,Spring,General Education Course (Integrative Studies),3
Second Year,Fall,Option Supporting Course*,3
Second Year,Spring,General Education Course (US),3
Third Year,Fall,"PSYCH 2XX Level (Group A, B, C or Additional)*",3
Third Year,Spring,PSYCH 4XX Level Course*,3
Third Year,Fall,PSYCH 4XX Level Course*,3
Third Year,Spring,PSYCH 301W or  300*,4
Third Year,Fall,General Education Course,3
Third Year,Spring,Option Course*,3
Third Year,Fall,Elective,3
Third Year,Spring,Option Supporting Course*,3
Third Year,Fall,Option Course*,3
Third Year,Spring,Elective,3
Fourth Year,Fall,PSYCH 4XX Level Course*,3
Fourth Year,Spring,PSYCH 4XX Level Course*,3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,PSYCH 490*,3
Fourth Year,Fall,ENGL 202A*‡,3
Fourth Year,Spring,Option Course*,3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,Option Supporting Course*,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,3
