Year,Semester,Course,Credits
First Year,Fall,ENGL 15 or  30H*,3
First Year,Spring,PSYCH 100*†,3
First Year,Fall,CI 185 or SOC  1†,3
First Year,Spring,Arts or Humanities,3
First Year,Fall,Quanitification*,3
First Year,Spring,Natural Science,3
First Year,Fall,Arts or Humanities,3
First Year,Spring,Elective/Minor,3
First Year,Fall,Elective,3
First Year,Spring,Elective/Minor,3
First Year,Fall,EDUC 100,1
First Year,Spring,Health and Physical Activity,1.5
Second Year,Fall,CAS 100A,3
Second Year,Spring,RHS 300*1,3
Second Year,Fall,SOC 119N†,4
Second Year,Spring,RHS 301*1,3
Second Year,Fall,"ANTH 21, BIOL  133, BIOL  110, BIOL  141, BISC  1, BISC  2, BISC  3, or BISC  4†",3-4
Second Year,Spring,Natural Science,3
Second Year,Fall,"PSYCH 212, HDFS  239, or EDPSY  10†",3
Second Year,Spring,Elective/Minor,3
Second Year,Fall,RHS 100†1,3
Second Year,Spring,Arts or Humanities,3
Third Year,Fall,ENGL 202A or  202B,3
Third Year,Spring,RHS 303*,3
Third Year,Fall,"EDPSY 101, STAT  100, or STAT  200†",3-4
Third Year,Spring,RHS 400W*,3
Third Year,Fall,RHS 302*,3
Third Year,Spring,RHS 401*,3
Third Year,Fall,Arts or Humanities,3
Third Year,Spring,Elective/Minor,3
Third Year,Fall,PSYCH 270,3
Third Year,Spring,Supporting Course*,3
Fourth Year,Fall,RHS 402*,3
Fourth Year,Spring,RHS 495A*2,6-12
