Year,Semester,Course,Credits
First Year,Fall,RUS 1,4
First Year,Spring,RUS 2,4
First Year,Fall,"ENGL 15,  30H,  137H, CAS  137H, or ESL  15 (GWS)‡",3
First Year,Spring,RUS 100 (GH;IL)*,3
First Year,Fall,General Education Course (N)†,3
First Year,Spring,"CAS 100A,  100B, or  100C (GWS)‡",3
First Year,Fall,General Education Course†,3
First Year,Spring,General Education Course (N)†,3
First Year,Fall,First-Year Seminar (FYS),3
First Year,Spring,General Education Course (GQ)‡,3
Second Year,Fall,RUS 3,4
Second Year,Spring,RUS 200 (IL)*,4
Second Year,Fall,RUS 141Y or  142Y*,3
Second Year,Spring,World Cultures Course,3
Second Year,Fall,General Education Course†,3
Second Year,Spring,General Education Course†,3
Second Year,Fall,General Education Course†,3
Second Year,Spring,US Cultures Course,3
Second Year,Fall,General Education Course (GQ)‡,3
Second Year,Spring,Elective (US),3
Third Year,Fall,"RUS 401,  402, or  403*",3
Third Year,Spring,RUS 400 (IL)*,3
Third Year,Fall,BA Requirements,3
Third Year,Spring,400 Level Russian *,3
Third Year,Fall,General Education Course†,3
Third Year,Spring,BA Requirements,3
Third Year,Fall,General Education Course†,3
Third Year,Spring,General Education Course†,3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,RUS 405 (IL)*,3
Fourth Year,Spring,400 Level Russian*,3
Fourth Year,Fall,400 Level Russian*,3
Fourth Year,Spring,General Education Course (GHW)†,1.5
Fourth Year,Fall,ENGL 202 (GWS)‡,3
Fourth Year,Spring,BA Requirements,3
Fourth Year,Fall,General Education Course (GHW)†,1.5
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,2
