Year,Semester,Course,Credits
First Year,Fall,ENGL 15*‡#,3
First Year,Spring,CHEM 110*#†,3
First Year,Fall,MATH 140 or  140B*‡#,4
First Year,Spring,CHEM 111*#†,1
First Year,Fall,BIOL 110*#†,4
First Year,Spring,"MATH 141,  141B, or STAT  200*‡",4
First Year,Fall,PSYCH 100*#†,3
First Year,Spring,EDPSY 14*#,3
First Year,Fall,EDUC 100,1
First Year,Spring,Health and Wellness*,1.5
First Year,Fall,EDTHP 115 (or 400-level EDTHP)*,3
First Year,Spring,BIOL 220W*#,4
Second Year,Fall,BIOL 230W or BMB  251 and BMB  252*,4
Second Year,Spring,CI 280*†,3
Second Year,Fall,CAS 100A‡,3
Second Year,Spring,HDFS 239 or PSYCH  412*†,3
Second Year,Fall,CHEM 112*#†,3
Second Year,Spring,BIOL 240W*,4
Second Year,Fall,CHEM 113*#,1
Second Year,Spring,PHYS 250 or  211*#,4
Second Year,Fall,Literature Selection*#†1,3
Second Year,Spring,Health and Wellness*,1.5
Third Year,Fall,SPLED 400*,4
Third Year,Spring,SCIED 411W*,3
Third Year,Fall,PHYS 251 or  212*,4
Third Year,Spring,BIOL 300-400 Level Selection*,3
Third Year,Fall,ENGL 202A or  202B*,3
Third Year,Spring,SPLED 403B*,3
Third Year,Fall,"BIOL 427, ANTH  21, ANTH  460, GEOSC  204, or GEOSC  424*",3-4
Third Year,Spring,"BMB 211/212,  401,  402, CHEM  202, CHEM  203, CHEM  210, CHEM  212, or CHEM  213*2",3
Fourth Year,Fall,SCIED 412*,3
Fourth Year,Spring,CI 495E*3,15
