Year,Semester,Course,Credits
First Year,Fall,MATH 140 (GQ)*‡#†,4
First Year,Spring,MATH 141 (GQ)*‡#†,4
First Year,Fall,CMPSC 131*,3
First Year,Spring,CMPSC 132*#,3
First Year,Fall,PLSC 10 (GS)*†,3
First Year,Spring,PLSC 309*#,3
First Year,Fall,FYS (GH),3
First Year,Spring,IST 210*,3
First Year,Fall,"ENGL 15,  30H,  137H, CAS  137H, or ESL  15 (GWS)‡",3
First Year,Spring,"CAS 100, CAS  100A, CAS  100B, CAS  100C, CAS  138T, or ENGL  138T (GWS)‡",3
Second Year,Fall,MATH 220*,2
Second Year,Spring,DS 220*,3
Second Year,Fall,STAT 184,2
Second Year,Spring,CMPSC 360*,3
Second Year,Fall,CMPSC 221*,3
Second Year,Spring,STAT 318*,3
Second Year,Fall,PLSC 1 (GS) (US)*†,3
Second Year,Spring,PLSC any level (WAC)*,3
Second Year,Fall,"PLSC 3,  7N,  14, or  17N*",3
Second Year,Spring,General Education Course (IL),3
Third Year,Fall,"DS 300,  310, or  330*",3
Third Year,Spring,"DS 300,  310, or  330*",3
Third Year,Fall,PLSC 400-level*1,3
Third Year,Spring,PLSC 400-level*1,3
Third Year,Fall,STAT 380*,3
Third Year,Spring,Advanced Analytics*2,3
Third Year,Fall,SODA 308*,3
Third Year,Spring,"ENGL 202A,  202B,  202C, or  202D (GWS)‡",3
Third Year,Fall,General Education Course,3
Third Year,Spring,Ethics (GH)*†3,3
Fourth Year,Fall,SODA 496*,3
Fourth Year,Spring,SODA 496*,3
Fourth Year,Fall,"DS 300,  310, or  330*",3
Fourth Year,Spring,PLSC 400-level*1,3
Fourth Year,Fall,PLSC 400-level*1,3
Fourth Year,Spring,Advanced Analytics*2,3
Fourth Year,Fall,Advanced Analytics*2,3
Fourth Year,Spring,General Education Course*,3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,General Education Course (GHW),3
