Year,Semester,Course,Credits
First Year,Fall,General Education Course (GWS)‡,3
First Year,Spring,General Education Course (GWS)‡,3
First Year,Fall,SOC 1*,3
First Year,Spring,SOC (Lower Level Course)*,3
First Year,Fall,World Language Level 1,4
First Year,Spring,World Language Level 2,4
First Year,Fall,General Education Course or First-Year Seminar,3
First Year,Spring,General Education Course,3
First Year,Fall,General Education Course (GQ)‡,3
First Year,Spring,General Education Course,3
Second Year,Fall,SOC (Lower Level Course)*,3
Second Year,Spring,SOC 207*,3
Second Year,Fall,STAT 200 (GQ)*‡†,4
Second Year,Spring,BA Fields,3
Second Year,Fall,CAS 283*,3
Second Year,Spring,General Education Course,3
Second Year,Fall,World Language Level 3,4
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,Elective,3
Third Year,Fall,SOC (400-Level Course)*,3
Third Year,Spring,General Education Course (GWS)‡,3
Third Year,Fall,General Education Course,3
Third Year,Spring,SOC 405*,3
Third Year,Fall,General Education Course,3
Third Year,Spring,SOC 470*,4
Third Year,Fall,BA Fields,3
Third Year,Spring,BA Fields,3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,SOC 400W*,3
Fourth Year,Spring,SOC (400-Level Course)*,3
Fourth Year,Fall,SOC (400-Level Course)*,3
Fourth Year,Spring,General Health and Wellness Course (GHW),1.5
Fourth Year,Fall,General Health and Wellness Course (GHW),1.5
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,BA World Cultures Course,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,3
