Year,Semester,Course,Credits
First Year,Fall,MATH 110 or  140 (GQ)*‡†,4
First Year,Spring,STAT 200 (GQ)*‡†,4
First Year,Fall,SOC 1*,3
First Year,Spring,SOC Lower-Level Course*,3
First Year,Fall,General Education Course (GWS)‡,3
First Year,Spring,General Education Course (GWS)‡,3
First Year,Fall,General Education Course,3
First Year,Spring,General Education Course,3
First Year,Fall,Elective,3
First Year,Spring,Elective,3
Second Year,Fall,"CMPSC 101,  121, or  131*",3
Second Year,Spring,SOC 470*,4
Second Year,Fall,SOC 207*,3
Second Year,Spring,SOC Lower-Level Course*,3
Second Year,Fall,SOC Lower-Level Course*,3
Second Year,Spring,General Education Course,3
Second Year,Fall,Pathway Course*,3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,Elective,3
Third Year,Fall,STAT 184*,2
Third Year,Spring,SOC 405*,3
Third Year,Fall,SOC 400-Level Course*,3
Third Year,Spring,Pathway Course*,3
Third Year,Fall,Pathway Course*,3
Third Year,Spring,General Education Course,3
Third Year,Fall,General Education Course,3
Third Year,Spring,General Education Health and Wellness (GHW),1.5
Third Year,Fall,General Education Course,3
Third Year,Spring,Elective,3
Fourth Year,Fall,SOC 400W*,3
Fourth Year,Spring,SOC 400-Level Course*,3
Fourth Year,Fall,SOC 400-Level Course*,3
Fourth Year,Spring,Pathway Course*,3
Fourth Year,Fall,Pathway Course*,3
Fourth Year,Spring,General Education Course (GWS)‡,3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,2-3
