Year,Semester,Course,Credits
First Year,Fall,"ENGL 15,  30H,  137H, CAS  137H, or ESL  15 (GWS)‡†",3
First Year,Spring,"CAS 100A,  100B,  100C,  138T, or ENGL  138T (GWS)‡†",3
First Year,Fall,General Education Course (GQ)‡,3
First Year,Spring,General Education Course (N),3
First Year,Fall,General Education Course (N),3
First Year,Spring,General Education Course,3
First Year,Fall,General Education Course,3
First Year,Spring,SPAN 21,4
Second Year,Fall,General Education Course (GQ)‡,3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course (GHW),1.5
Second Year,Spring,"SPAN 100,  100A,  100B, or SPAN 100C*",3
Second Year,Fall,Applied Option Course*2,3
Second Year,Spring,Applied Option Course*2,3
Second Year,Fall,SPAN 3,4
Second Year,Spring,Elective (US),3
Third Year,Fall,SPAN 200 or  200A*,3
Third Year,Spring,SPAN 253W*,3
Third Year,Fall,SPAN 215*,3
Third Year,Spring,200- or 300-Level Course in SPAN*2,3
Third Year,Fall,Applied Option Course*2,3
Third Year,Spring,200- or 300-Level Course in SPAN*2,3
Third Year,Fall,Applied Option Course*2,3
Third Year,Spring,Applied Option Course*2,3
Third Year,Fall,General Education Course,3
Third Year,Spring,General Education Course,3
Fourth Year,Fall,ENGL 202 (GWS)‡,3
Fourth Year,Spring,400-Level SPAN Course*2,3
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,400-Level SPAN Course*2,3
Fourth Year,Fall,200- or 300-level course in SPAN*2,3
Fourth Year,Spring,400-Level SPAN Course*2,3
Fourth Year,Fall,400-Level SPAN Literature*2,3
Fourth Year,Spring,400-Level SPAN Course*2,3
Fourth Year,Fall,400-Level SPAN Linguistics*2,3
Fourth Year,Spring,400-Level Applied Option Course*2,3
