Year,Semester,Course,Credits
First Year,Fall,EDTHP 115*#†,3
First Year,Spring,EDPSY 10 or  11*#†,3
First Year,Fall,EDUC 100,1
First Year,Spring,EDPSY 101*#†,3
First Year,Fall,ENGL 15 or  30H*#,3
First Year,Spring,PSYCH 212*#†,3
First Year,Fall,MATH 200*#†,3
First Year,Spring,Literature Selection*#†1,3
First Year,Fall,PSYCH 100*#†,3
First Year,Spring,General Education Course (Inter-Domain),3
Second Year,Fall,CI 280 (GH),3
Second Year,Spring,CAS 100A*†,3
Second Year,Fall,EDPSY 14*#,3
Second Year,Spring,General Education Course (Inter-Domain),3
Second Year,Fall,General Education Course (GN)†,3
Second Year,Spring,General Education Course (GA),3
Second Year,Fall,General Education Course (GHW),1.5
Second Year,Spring,General Education Course (GHW),1.5
Second Year,Fall,Minor/Elective,3
Second Year,Spring,Minor/Elective,3
Third Year,Fall,SPLED 395W*,3
Third Year,Spring,SPLED 404*,3
Third Year,Fall,SPLED 401*,4
Third Year,Spring,SPLED 411*,3
Third Year,Fall,SPLED 410*,3
Third Year,Spring,SPLED 412*,3
Third Year,Fall,SPLED 415*,3
Third Year,Spring,SPLED 454*,3
Third Year,Fall,SPLED 418*,3
Third Year,Spring,SPLED 495E*,3
Fourth Year,Fall,ENGL 202A or  202B†,3
Fourth Year,Spring,SPLED 495D,3
Fourth Year,Fall,SPLED 409A*,3
Fourth Year,Spring,SPLED 495F*2,12
