Year,Semester,Course,Credits
First Year,Fall,THEA 1S*,1
First Year,Spring,THEA 132*,3
First Year,Fall,THEA 106*,3
First Year,Spring,THEA 201W*,3
First Year,Fall,THEA 120*,3
First Year,Spring,DANCE 270*†,3
First Year,Fall,THEA 289*,1
First Year,Spring,World Language,4
First Year,Fall,ENGL 15‡,3
First Year,Spring,General Education Course (GQ)‡,3
Second Year,Fall,"THEA 211,  220,  434, or  440*",3
Second Year,Spring,"THEA 211,  220,  434, or  440*",3
Second Year,Fall,World Language,4
Second Year,Spring,"DANCE 170,  221,  225,  230,  240,  250,  260, or  370*",1.5-3
Second Year,Fall,Bachelor of Arts Knowledge Domain,3
Second Year,Spring,Bachelor of Arts Knowledge Domain,3
Second Year,Fall,General Education Course (GQ)‡,3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,General Education Course,3
Third Year,Fall,"CAS 100A,  100B, or  100C‡",3
Third Year,Spring,(Optional Semester in London),
Third Year,Fall,"THEA 401,  402,  405W,  407W,  412, DANCE  410, or DANCE 411*",3
Third Year,Spring,If at University Park campus:,
Third Year,Fall,Bachelor of Arts Knowledge Domain,3
Third Year,Spring,Literature & Theory*1,3
Third Year,Fall,General Education Course,3
Third Year,Spring,General Education Course,3
Third Year,Fall,General Education Course,3
Third Year,Spring,Elective,3
Fourth Year,Fall,"THEA 401,  402,  405W,  407W,  412, DANCE  410, or DANCE 411*",3
Fourth Year,Spring,"THEA 401,  402,  405W,  407W,  412, DANCE  410, or DANCE 411*",3
Fourth Year,Fall,"ENGL 202A,  202B,  202C, or  202D‡",3
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,Bachelor of Arts World Cultures,3
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,1-2.5
