Year,Semester,Course,Credits
First Year,Fall,VBSC 50 (or First-Year Seminar),1-3
First Year,Spring,ENGL 15 or  30H (GWS)*,3
First Year,Fall,Economics/Business Selection (GS)1,3
First Year,Spring,General Education selection (GA/GH/Integrated),3
First Year,Fall,CHEM 110 (GN)*2,3
First Year,Spring,CHEM 112 (GN),3
First Year,Fall,CHEM 111 (GN)*2,1
First Year,Spring,CHEM 113 (GN),1
First Year,Fall,MATH 140 or  140B (GQ)*,4
First Year,Spring,MATH 141 or  141B (GQ)*,4
First Year,Fall,General Education selection (GA/GH/GHW/Integrated),3
First Year,Spring,General Education selection (GA/GH/GHW/Integrated),3
Second Year,Fall,BIOL 110 (GN)*2,4
Second Year,Spring,"BIOL 220W,  230W,  240W, or BMB  251 (GN)",3-4
Second Year,Fall,PHYS 250 (GN),4
Second Year,Spring,PHYS 251 (GN),4
Second Year,Fall,CHEM 202 or  210,3
Second Year,Spring,CHEM 203 or  212 and  213W,3-5
Second Year,Fall,"CAS 100A,  100B, or  100C (GWS)*",3
Second Year,Spring,ANSC 201*,4
Third Year,Fall,BMB 401 or  211 and  212,3-4
Third Year,Spring,BMB 402 or  221,2-3
Third Year,Fall,ANSC 301*,3
Third Year,Spring,VBSC 211 (GN),3
Third Year,Fall,STAT 250 or  200 (GQ),3
Third Year,Spring,MICRB 201,3
Third Year,Fall,BIOL 222 or  322*,3
Third Year,Spring,MICRB 202,2
Third Year,Fall,General Education selection (GA/GH/GHW/Integrated),3
Third Year,Spring,Elective,3
Fourth Year,Fall,VBSC 421,4
Fourth Year,Spring,VBSC 403*,3
Fourth Year,Fall,Supporting Courses (see department list)*,6
Fourth Year,Spring,BIOL 472 or ANSC  423,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Electives,6
Fourth Year,Fall,ENGL 202C (GWS)*4,3
Fourth Year,Spring,Supporting Courses (see department list)*,3
