Year,Semester,Course,Credits
First Year,Fall,ENGL 15 (or Honors Equivalent (GWS))*,3
First Year,Spring,CAS 100 (or Honors Equivalent (GWS))*,3
First Year,Fall,"WMNST 100,  106N, or WMNST 83S*",3
First Year,Spring,WMNST Course (Work with Adviser)*,3
First Year,Fall,General Education Course (GQ)*,3
First Year,Spring,General Education Course (GH) (US),3
First Year,Fall,General Education Course (GS) (FYS),3
First Year,Spring,General Education Course (GN),3
First Year,Fall,Major Supporting or Related Courses*,3
First Year,Spring,Major Supporting or Related Courses*,3
Second Year,Fall,WMNST Course (Work with Adviser)*,3
Second Year,Spring,WMNST 301N*,3
Second Year,Fall,General Education Course (GQ)*,3
Second Year,Spring,General Education Course (GN),3
Second Year,Fall,General Education Course (GA) (IL),3
Second Year,Spring,General Education Course (GH),3
Second Year,Fall,General Education Course (GS),3
Second Year,Spring,Major Supporting or Related Courses*,3
Second Year,Fall,Elective,3
Second Year,Spring,General Education Course (GA),3
Third Year,Fall,WMNST 400N or  401*,3
Third Year,Spring,WMNST Course (Work with Adviser)*,3
Third Year,Fall,WMNST Course (Work with Adviser)*,3
Third Year,Spring,WMNST Course (Work with Adviser)*,3
Third Year,Fall,General Education Course (GN),3
Third Year,Spring,WMNST Course (Work with Adviser)*,3
Third Year,Fall,Major Supporting or Related Courses*,3
Third Year,Spring,"ENGL 202A,  202B,  202C, or  202D*",3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,"WMNST 494,  495, or  496*",3
Fourth Year,Spring,WMNST 492W*,3
Fourth Year,Fall,WMNST Course (Work with Adviser)*,3
Fourth Year,Spring,WMNST Course (Work with Adviser)*,3
Fourth Year,Fall,WMNST Course (Work with Adviser),3
Fourth Year,Spring,Major Supporting or Related Courses*,3
Fourth Year,Fall,General Education Course (GHW),3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,3
