Year,Semester,Course,Credits
First Year,Fall,EDUC 100,1
First Year,Spring,FR 202*#,3
First Year,Fall,ENGL 15*#†,3
First Year,Spring,HDFS 229*#†,3
First Year,Fall,FR 201*#,3
First Year,Spring,EDTHP 115*#,3
First Year,Fall,EDPSY 14*#,3
First Year,Spring,Science Selection†,3
First Year,Fall,Science Selection†,3
First Year,Spring,Art Selection†,3
Second Year,Fall,HDFS 239 or PSYCH  412*†,3
Second Year,Spring,WLED 300*#,3
Second Year,Fall,FR 331*†,3
Second Year,Spring,CI 280*†,3
Second Year,Fall,FR 316*†,3
Second Year,Spring,FR 332*,3
Second Year,Fall,CI 295*#,2
Second Year,Spring,FR 351 or  352*#†,3
Second Year,Fall,Mathematics Selection*#,3
Second Year,Spring,Science Selection†,3
Third Year,Fall,WLED 411*,3
Third Year,Spring,Art Selection,3
Third Year,Fall,WLED 495B*,3
Third Year,Spring,FR 402Y*,3
Third Year,Fall,SPLED 400*,4
Third Year,Spring,FR 440 or WLED  399A*,3
Third Year,Fall,CAS 100A†,3
Third Year,Spring,FR 401*,3
Third Year,Fall,FR 417 or  418*,3
Third Year,Spring,"FR 137,  138N, or  139*",3
Fourth Year,Fall,WLED 412W*,3
Fourth Year,Spring,CI 495E*1,15
