Certificate,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Africa-Asia Studies,12,or ASIA 100Z,,3.0,Mandatory,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,AFR 110N,,3.0,Mandatory,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,ASIA 100,,3.0,Mandatory,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,AFR 105,,3.0,Mandatory,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,AFR 191,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,AFR 192,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,AFR 202N,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,AFR 399,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,AFR 405,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,AFR 443,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,AFR 454,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,AFR 464,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,AFR 497,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,AFR 596,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,ANTH 408,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,ANTH 458,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,ASIA 3,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,ASIA 120Y,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,ASIA 171,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
Africa-Asia Studies,12,ASIA 199,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Africa-Asia Studies, a minimum of 12 credits is required.; Non-Course Requirements:",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/africa-asia-studies-certificate/
