Certificate,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
"African Literature, Visual Arts, and Performance",12,AFR 150,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,AFR 335,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,AFR 405,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,CMLIT 3,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,DANCE 221,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,AFR 110N,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,AFR 132,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,AFR 202N,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,AFR 297,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,AFR 310,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
