Certificate,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Climate and Environmental Change,,GEOG 310,,3.0,Mandatory,"Prerequisites not included in certificate:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State. If student is completing multiple certificates in Geography (including Global & Environmental Change), no more than one (1) course may double-count for each.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/climate-environmental-change-certificate/
Climate and Environmental Change,,GEOG 310W,,3.0,Mandatory,"Prerequisites not included in certificate:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State. If student is completing multiple certificates in Geography (including Global & Environmental Change), no more than one (1) course may double-count for each.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/climate-environmental-change-certificate/
Climate and Environmental Change,,EARTH 402,,3.0,Select 9 Credits,"Prerequisites not included in certificate:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State. If student is completing multiple certificates in Geography (including Global & Environmental Change), no more than one (1) course may double-count for each.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/climate-environmental-change-certificate/
Climate and Environmental Change,,GEOG 362,,3.0,Select 9 Credits,"Prerequisites not included in certificate:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State. If student is completing multiple certificates in Geography (including Global & Environmental Change), no more than one (1) course may double-count for each.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/climate-environmental-change-certificate/
Climate and Environmental Change,,GEOG 410,,3.0,Select 9 Credits,"Prerequisites not included in certificate:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State. If student is completing multiple certificates in Geography (including Global & Environmental Change), no more than one (1) course may double-count for each.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/climate-environmental-change-certificate/
Climate and Environmental Change,,GEOG 412W,,3.0,Select 9 Credits,"Prerequisites not included in certificate:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State. If student is completing multiple certificates in Geography (including Global & Environmental Change), no more than one (1) course may double-count for each.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/climate-environmental-change-certificate/
Climate and Environmental Change,,GEOG 417,,3.0,Select 9 Credits,"Prerequisites not included in certificate:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State. If student is completing multiple certificates in Geography (including Global & Environmental Change), no more than one (1) course may double-count for each.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/climate-environmental-change-certificate/
Climate and Environmental Change,,GEOG 438W,,3.0,Select 9 Credits,"Prerequisites not included in certificate:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State. If student is completing multiple certificates in Geography (including Global & Environmental Change), no more than one (1) course may double-count for each.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/climate-environmental-change-certificate/
Climate and Environmental Change,,GEOSC 320,,3.0,Select 9 Credits,"Prerequisites not included in certificate:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State. If student is completing multiple certificates in Geography (including Global & Environmental Change), no more than one (1) course may double-count for each.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/climate-environmental-change-certificate/
Climate and Environmental Change,,GEOSC 450,,3.0,Select 9 Credits,"Prerequisites not included in certificate:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State. If student is completing multiple certificates in Geography (including Global & Environmental Change), no more than one (1) course may double-count for each.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/climate-environmental-change-certificate/
