Certificate,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Development and Sustainability in Africa,12,AFR 205,,3.0,Mandatory,"To earn an undergraduate certificate in Development and Sustainability in Africa, a minimum of 12 credits is required.; Non-Course Requirements:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/development-sustainability-africa-certificate/
Development and Sustainability in Africa,12,AFR 105,,3.0,Mandatory,"To earn an undergraduate certificate in Development and Sustainability in Africa, a minimum of 12 credits is required.; Non-Course Requirements:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/development-sustainability-africa-certificate/
Development and Sustainability in Africa,12,AFR 440,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Development and Sustainability in Africa, a minimum of 12 credits is required.; Non-Course Requirements:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/development-sustainability-africa-certificate/
Development and Sustainability in Africa,12,AFR 444,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Development and Sustainability in Africa, a minimum of 12 credits is required.; Non-Course Requirements:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/development-sustainability-africa-certificate/
Development and Sustainability in Africa,12,AFR 464,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Development and Sustainability in Africa, a minimum of 12 credits is required.; Non-Course Requirements:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/development-sustainability-africa-certificate/
Development and Sustainability in Africa,12,AFR/RPTM 497,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Development and Sustainability in Africa, a minimum of 12 credits is required.; Non-Course Requirements:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/development-sustainability-africa-certificate/
Development and Sustainability in Africa,12,GEOG 230,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Development and Sustainability in Africa, a minimum of 12 credits is required.; Non-Course Requirements:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/development-sustainability-africa-certificate/
Development and Sustainability in Africa,12,GEOG 430,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Development and Sustainability in Africa, a minimum of 12 credits is required.; Non-Course Requirements:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/development-sustainability-africa-certificate/
Development and Sustainability in Africa,12,FOR 418,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Development and Sustainability in Africa, a minimum of 12 credits is required.; Non-Course Requirements:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/development-sustainability-africa-certificate/
Development and Sustainability in Africa,12,FOR 488Y,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Development and Sustainability in Africa, a minimum of 12 credits is required.; Non-Course Requirements:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/development-sustainability-africa-certificate/
Development and Sustainability in Africa,12,Upper-level independent study with approved faculty,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Development and Sustainability in Africa, a minimum of 12 credits is required.; Non-Course Requirements:; Per University policy, all credit courses for a certificate require a grade of 'C' or higher, and at least two-thirds (2/3) of the credits used to complete a certificate must be earned at Penn State.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/development-sustainability-africa-certificate/
