Certificate,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Environment and Society Geography,12,GEOG 230,,3.0,Mandatory,"To earn an undergraduate certificate in Environment and Society Geography, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/environment-society-geography-certificate/
Environment and Society Geography,12,GEOG 330N,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Environment and Society Geography, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/environment-society-geography-certificate/
Environment and Society Geography,12,GEOG 333,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Environment and Society Geography, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/environment-society-geography-certificate/
Environment and Society Geography,12,GEOG 430,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Environment and Society Geography, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/environment-society-geography-certificate/
Environment and Society Geography,12,GEOG 431,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Environment and Society Geography, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/environment-society-geography-certificate/
Environment and Society Geography,12,GEOG 432,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Environment and Society Geography, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/environment-society-geography-certificate/
Environment and Society Geography,12,GEOG 433,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Environment and Society Geography, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/environment-society-geography-certificate/
Environment and Society Geography,12,GEOG 434,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Environment and Society Geography, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/environment-society-geography-certificate/
Environment and Society Geography,12,GEOG 436,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Environment and Society Geography, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/environment-society-geography-certificate/
Environment and Society Geography,12,GEOG 438W,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Environment and Society Geography, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/environment-society-geography-certificate/
Environment and Society Geography,12,GEOG 439,,3.0,Select 9 Credits,"To earn an undergraduate certificate in Environment and Society Geography, a minimum of 12 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/environment-society-geography-certificate/
