Certificate,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Meeting and Event Management,15,HM 485,,3.0,Mandatory,"To earn an undergraduate certificate in Meeting and Event Management, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/meeting-event-management-certificate/
Meeting and Event Management,15,RPTM 395,,3.0,Mandatory,"To earn an undergraduate certificate in Meeting and Event Management, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/meeting-event-management-certificate/
Meeting and Event Management,15,RPTM 356,,3.0,Mandatory,"To earn an undergraduate certificate in Meeting and Event Management, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/meeting-event-management-certificate/
Meeting and Event Management,15,HM 384,,3.0,Mandatory,"To earn an undergraduate certificate in Meeting and Event Management, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/meeting-event-management-certificate/
Meeting and Event Management,15,HM 201,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Meeting and Event Management, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/meeting-event-management-certificate/
Meeting and Event Management,15,HM 271,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Meeting and Event Management, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/meeting-event-management-certificate/
Meeting and Event Management,15,HM 484,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Meeting and Event Management, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/meeting-event-management-certificate/
Meeting and Event Management,15,HM 442,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Meeting and Event Management, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/meeting-event-management-certificate/
Meeting and Event Management,15,HM 455,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Meeting and Event Management, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/meeting-event-management-certificate/
Meeting and Event Management,15,HM 485,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Meeting and Event Management, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/meeting-event-management-certificate/
Meeting and Event Management,15,RPTM 300Y,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Meeting and Event Management, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/meeting-event-management-certificate/
Meeting and Event Management,15,RPTM 334,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Meeting and Event Management, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/meeting-event-management-certificate/
Meeting and Event Management,15,RPTM 370,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Meeting and Event Management, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/meeting-event-management-certificate/
Meeting and Event Management,15,RPTM 356,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Meeting and Event Management, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/meeting-event-management-certificate/
Meeting and Event Management,15,RPTM 410,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Meeting and Event Management, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/meeting-event-management-certificate/
Meeting and Event Management,15,RPTM 415,,3.0,Select 6 Credits,"To earn an undergraduate certificate in Meeting and Event Management, a minimum of 15 credits is required.",https://bulletins.psu.edu/undergraduate/colleges/health-human-development/meeting-event-management-certificate/
