Certificate,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
National Security Agency,28,CMPSC 101,,3.0,Mandatory,"To earn an undergraduate certificate in National Security Agency, a minimum of 28 credits is required.; A grade of ""C"" or higher is required in all courses for the certificate; no course substitutions are permitted. Courses taken more than 10 years ago will not apply automatically towards completion of the certificate but instead will require review by the academic unit.",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/national-security-agency-certificate/
National Security Agency,28,IST 140,,3.0,Mandatory,"To earn an undergraduate certificate in National Security Agency, a minimum of 28 credits is required.; A grade of ""C"" or higher is required in all courses for the certificate; no course substitutions are permitted. Courses taken more than 10 years ago will not apply automatically towards completion of the certificate but instead will require review by the academic unit.",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/national-security-agency-certificate/
National Security Agency,28,IST 210,,3.0,Mandatory,"To earn an undergraduate certificate in National Security Agency, a minimum of 28 credits is required.; A grade of ""C"" or higher is required in all courses for the certificate; no course substitutions are permitted. Courses taken more than 10 years ago will not apply automatically towards completion of the certificate but instead will require review by the academic unit.",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/national-security-agency-certificate/
National Security Agency,28,IST 454,,3.0,Mandatory,"To earn an undergraduate certificate in National Security Agency, a minimum of 28 credits is required.; A grade of ""C"" or higher is required in all courses for the certificate; no course substitutions are permitted. Courses taken more than 10 years ago will not apply automatically towards completion of the certificate but instead will require review by the academic unit.",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/national-security-agency-certificate/
National Security Agency,28,SRA 111,,3.0,Mandatory,"To earn an undergraduate certificate in National Security Agency, a minimum of 28 credits is required.; A grade of ""C"" or higher is required in all courses for the certificate; no course substitutions are permitted. Courses taken more than 10 years ago will not apply automatically towards completion of the certificate but instead will require review by the academic unit.",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/national-security-agency-certificate/
National Security Agency,28,IST 220,,3.0,Mandatory,"To earn an undergraduate certificate in National Security Agency, a minimum of 28 credits is required.; A grade of ""C"" or higher is required in all courses for the certificate; no course substitutions are permitted. Courses taken more than 10 years ago will not apply automatically towards completion of the certificate but instead will require review by the academic unit.",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/national-security-agency-certificate/
National Security Agency,28,SRA 221,,3.0,Mandatory,"To earn an undergraduate certificate in National Security Agency, a minimum of 28 credits is required.; A grade of ""C"" or higher is required in all courses for the certificate; no course substitutions are permitted. Courses taken more than 10 years ago will not apply automatically towards completion of the certificate but instead will require review by the academic unit.",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/national-security-agency-certificate/
National Security Agency,28,IST 456,,3.0,Mandatory,"To earn an undergraduate certificate in National Security Agency, a minimum of 28 credits is required.; A grade of ""C"" or higher is required in all courses for the certificate; no course substitutions are permitted. Courses taken more than 10 years ago will not apply automatically towards completion of the certificate but instead will require review by the academic unit.",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/national-security-agency-certificate/
National Security Agency,28,STAT 200,,4.0,Mandatory,"To earn an undergraduate certificate in National Security Agency, a minimum of 28 credits is required.; A grade of ""C"" or higher is required in all courses for the certificate; no course substitutions are permitted. Courses taken more than 10 years ago will not apply automatically towards completion of the certificate but instead will require review by the academic unit.",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/national-security-agency-certificate/
National Security Agency,28,IST 451,,3.0,Mandatory,"To earn an undergraduate certificate in National Security Agency, a minimum of 28 credits is required.; A grade of ""C"" or higher is required in all courses for the certificate; no course substitutions are permitted. Courses taken more than 10 years ago will not apply automatically towards completion of the certificate but instead will require review by the academic unit.",https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/national-security-agency-certificate/
