Certificate,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Space Systems Engineering,12,EE 474,,3.0,Mandatory,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,AERSP 401A,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,AERSP 401B,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,AERSP 430,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,AERSP 450,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,AERSP 492,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,AERSP 497,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,AERSP 550,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,AERSP 597,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,AERSP 597,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,EE 472,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,EE 474,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,AERSP 55,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,AERSP 309,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,AERSP 540,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,EDSGN 597,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,EE 471,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,EE 477,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,EE 534,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,EE 541,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,EE 576,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,EE 579,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,EE 580,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,EE 581,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,GEOSC 21,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,GEOSC 474,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,METEO 477,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,NUCE 490,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,NUCE 540,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
Space Systems Engineering,12,STS 55,,3.0,Select N/A Credits,"To earn an undergraduate certificate in Space Systems Engineering, a minimum of 12 credits is required.; Students must earn a C grade or better in each of the courses to continue with the certificate.; Students must complete an application. A project report must be submitted adhering to SPSYS Certificate formatting and systems content guidelines.; Prerequisites Required.",https://bulletins.psu.edu/undergraduate/colleges/engineering/space-systems-engineering-certificate/
