major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Accounting B.S.,ACCTG 406|ACCTG 432|ACCTG 440|ACCTG 473|ACCTG 481|ACCTG 483,,6.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,ACCTG 406|ACCTG 432|ACCTG 440|ACCTG 473|ACCTG 481|ACCTG 483,,6.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,ENGL  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,ENGL  138T,"CAS 100, ,",3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,ACCTG 403W,; 6,3.0,1,0,1,Fourth Year,Fall; Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,ACCTG 404,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,CAS  138T,"CAS 100, ,",3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,BLAW  341,,3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,CAS  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,ACCTG 472,; 1,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,ACCTG 405,; 1,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,ACCTG 471,; 1,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,ACCTG 211,"; 1,2",4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,ENGL 202D,; 1,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,MATH 110,,4.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,BLAW 341,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,MKTG 301,"; 1,2",3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,MATH 140,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,STAT 200,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,MGMT 301,"; 1,2",3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,ECON 102,; 2,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,ECON 104,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,BA  342,,3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,FIN 301,"; 1,2",3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,MIS 250,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,SCM 200,,4.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,SCM 301,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,BA 342,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,BA 411,; 6,3.0,1,0,1,Fourth Year,Fall; Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
Accounting B.S.,PSU 6,,1.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/accounting-bs/
