major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Actuarial Science B.S.,ENGL 15|ENGL 30H|ENGL/CAS 137H|ESL 15,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,STAT 380|STAT 462|STAT 483,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,STAT 414 | MATH 414,; 1,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,STAT 415 | MATH 415,; 1,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,ENGL  138T,"CAS 100, ,",3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,ENGL  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,ENGL 202D,; 1,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,ACCTG 211,"; 1,2",4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,CAS  138T,"CAS 100, ,",3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,CAS  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,BLAW  341,,3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,STAT  200,"or 1,2",4.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,ECON 104,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,BLAW 341,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,STAT 200,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,ECON 102,; 2,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,MGMT 301,"; 1,2",3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,MATH 141,"; 1,2",4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,MATH 140,"; 1,2",4.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,MKTG 301,"; 1,2",3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,MATH 231,; 1,2.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,MIS 250,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,FIN 301,"; 1,2",3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,RM 320W,; 1,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,SCM 200,,4.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,BA  342,,3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,RM 430,; 1,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,BA 411,,3.0,1,0,1,Fourth Year,Fall; Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
Actuarial Science B.S.,BA 342,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/actuarial-science-bs/
