major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Advertising/Public Relations B.A.,COMM 421W,,3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/advertising-public-relations-ba/
Advertising/Public Relations B.A.,ENGL 202A,",  202B,  202C,",3.0,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/advertising-public-relations-ba/
Advertising/Public Relations B.A.,PSYCH 100,; †,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/advertising-public-relations-ba/
Advertising/Public Relations B.A.,CAS 100A,",  100B,",3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/advertising-public-relations-ba/
Advertising/Public Relations B.A.,COMM 160,,1.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/advertising-public-relations-ba/
Advertising/Public Relations B.A.,COMM 305,",  320,  373,  410,  411,  417,  418,  425,  426,  427,  468,  494,  495,  496,",3.0,0,0,1,Third Year; Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/advertising-public-relations-ba/
Advertising/Public Relations B.A.,COMM 320,1,3.0,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/advertising-public-relations-ba/
Advertising/Public Relations B.A.,COMM 420,,3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/advertising-public-relations-ba/
Advertising/Public Relations B.A.,COMM 422,,3.0,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/advertising-public-relations-ba/
Advertising/Public Relations B.A.,COMM 424,,3.0,0,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/advertising-public-relations-ba/
Advertising/Public Relations B.A.,ECON 102,; †,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/advertising-public-relations-ba/
Advertising/Public Relations B.A.,STAT 200,; ‡†,4.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/advertising-public-relations-ba/
Advertising/Public Relations B.A.,ENGL 15,†‡,3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/bellisario-communications/advertising-public-relations-ba/
