major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
African Studies B.A.,AFR 403|AFR 405|AFR/PLSC 434|AFR/PLSC/IB 440|AFR/PLSC 443|AFR/PLSC 454|AFR/PLSC 459|AFR 464|AFR 494|AFR 495|AFR 496|AFR 497|AFR 499|GEOG 436|GEOG 444|GEOG/LER 475|PLSC 481,,18.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 403|AFR 405|AFR/PLSC 434|AFR/PLSC/IB 440|AFR/PLSC 443|AFR/PLSC 454|AFR/PLSC 459|AFR 464|AFR 494|AFR 495|AFR 496|AFR 497|AFR 499|GEOG 436|GEOG 444|GEOG/LER 475|PLSC 481,,18.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 403|AFR 405|AFR/PLSC 434|AFR/PLSC/IB 440|AFR/PLSC 443|AFR/PLSC 454|AFR/PLSC 459|AFR 464|AFR 494|AFR 495|AFR 496|AFR 497|AFR 499|GEOG 436|GEOG 444|GEOG/LER 475|PLSC 481,,18.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 403|AFR 405|AFR/PLSC 434|AFR/PLSC/IB 440|AFR/PLSC 443|AFR/PLSC 454|AFR/PLSC 459|AFR 464|AFR 494|AFR 495|AFR 496|AFR 497|AFR 499|GEOG 436|GEOG 444|GEOG/LER 475|PLSC 481,,18.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 403|AFR 405|AFR/PLSC 434|AFR/PLSC/IB 440|AFR/PLSC 443|AFR/PLSC 454|AFR/PLSC 459|AFR 464|AFR 494|AFR 495|AFR 496|AFR 497|AFR 499|GEOG 436|GEOG 444|GEOG/LER 475|PLSC 481,,18.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 403|AFR 405|AFR/PLSC 434|AFR/PLSC/IB 440|AFR/PLSC 443|AFR/PLSC 454|AFR/PLSC 459|AFR 464|AFR 494|AFR 495|AFR 496|AFR 497|AFR 499|GEOG 436|GEOG 444|GEOG/LER 475|PLSC 481,,18.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFAM 100N|AFAM 211|AFAM 302|AFR 150|AFR 197|AFR 199|AFR 202N|AFR 294|AFR 297|AFR 299|AFR 395|AFR 399|ARTH 335|ECON 102|ECON 104,,15.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFAM 100N|AFAM 211|AFAM 302|AFR 150|AFR 197|AFR 199|AFR 202N|AFR 294|AFR 297|AFR 299|AFR 395|AFR 399|ARTH 335|ECON 102|ECON 104,,15.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFAM 100N|AFAM 211|AFAM 302|AFR 150|AFR 197|AFR 199|AFR 202N|AFR 294|AFR 297|AFR 299|AFR 395|AFR 399|ARTH 335|ECON 102|ECON 104,,15.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFAM 100N|AFAM 211|AFAM 302|AFR 150|AFR 197|AFR 199|AFR 202N|AFR 294|AFR 297|AFR 299|AFR 395|AFR 399|ARTH 335|ECON 102|ECON 104,,15.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFAM 100N|AFAM 211|AFAM 302|AFR 150|AFR 197|AFR 199|AFR 202N|AFR 294|AFR 297|AFR 299|AFR 395|AFR 399|ARTH 335|ECON 102|ECON 104,,15.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,ENGL  138T,"CAS 100, ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,ENGL  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,HIST  192,,3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,HIST  191,,3.0,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,ENGL 202A,",  202B,  202C,",3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,CAS  138T,"CAS 100, ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,CAS  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 192,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 105,,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
African Studies B.A.,AFR 191,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-studies-ba/
