major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Agribusiness Management B.S.,ACCTG 211,,4,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,STAT  200,or ‡†,4,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGBM 308W,,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,ENGL 202D,; ‡†,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,BLAW  341,", , , or",34,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,ECON  102,,3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,ECON 104,; †,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,SRA  111,", , , or",3,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,RSOC  11,", ,",3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,MKTG 301,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,MIS  250,", , ,",3,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,MGMT 301,,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,MATH 140,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,MATH 110,; or  140‡†,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGBM 101,,3,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,STAT 200,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,ECON 102,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGSC 100,,1,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGBM 408,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGBM 407,; or  408,3,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGBM 338,,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGBM 320,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGBM 302,,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGBM 106,,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,AGBM 102,,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,BA  342,", , ,",34,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,ESL  15,", ,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,FIN 301,,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,SCM 200,,4,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,SCM 301,,3,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
Agribusiness Management B.S.,ENGL 15,",  30H,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agribusiness-management-bs/
