major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Agricultural and Biorenewable Systems Management B.S.,ABSM 310|ABSM 320|ABSM 327|ABSM 402|ABSM 411|ABSM 417|ABSM 420|ABSM 423|ABSM 424|ABSM 496,,12.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-biorenewable-systems-management-bs/
Agricultural and Biorenewable Systems Management B.S.,ABSM 310|ABSM 320|ABSM 327|ABSM 402|ABSM 411|ABSM 417|ABSM 420|ABSM 423|ABSM 424|ABSM 496,,12.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-biorenewable-systems-management-bs/
Agricultural and Biorenewable Systems Management B.S.,ABSM 310|ABSM 320|ABSM 327|ABSM 402|ABSM 411|ABSM 417|ABSM 420|ABSM 423|ABSM 424|ABSM 496,,12.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-biorenewable-systems-management-bs/
Agricultural and Biorenewable Systems Management B.S.,ABSM 310|ABSM 320|ABSM 327|ABSM 402|ABSM 411|ABSM 417|ABSM 420|ABSM 423|ABSM 424|ABSM 496,,12.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-biorenewable-systems-management-bs/
Agricultural and Biorenewable Systems Management B.S.,ECON  102,or †,3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-biorenewable-systems-management-bs/
Agricultural and Biorenewable Systems Management B.S.,ABSM 431W,,2,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-biorenewable-systems-management-bs/
Agricultural and Biorenewable Systems Management B.S.,ABSM 430W,,1,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-biorenewable-systems-management-bs/
Agricultural and Biorenewable Systems Management B.S.,AGBM  302,,3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-biorenewable-systems-management-bs/
Agricultural and Biorenewable Systems Management B.S.,ACCTG 211,,4,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-biorenewable-systems-management-bs/
Agricultural and Biorenewable Systems Management B.S.,EDSGN 100,,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-biorenewable-systems-management-bs/
Agricultural and Biorenewable Systems Management B.S.,CHEM 111,; †,1,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-biorenewable-systems-management-bs/
Agricultural and Biorenewable Systems Management B.S.,AGBM 302,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-biorenewable-systems-management-bs/
Agricultural and Biorenewable Systems Management B.S.,ABSM 490,,1,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-biorenewable-systems-management-bs/
