major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Agricultural and Extension Education B.S.,BIOL 220W|BIOL 230W|BIOL 240W,,4.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,CHEM 101|CHEM 110|CHEM 130,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,CAS 100|CAS 100A|CAS 100B,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,ENGL 15|ENGL 30H|ESL 15,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,INTAG 100N,; †,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,EDTHP 115,,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,SOILS 101,,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,ENGL 202C,; ‡†,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,WFED 414,,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,WFED 413,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,EDPSY 14,,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,STAT 200,; ‡†,4,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,ANSC 201,,4,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,WFED 450,,3,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,BIOL 110,; †,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AGBM 101,; †,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AEE 495,,12; 10,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AEE 100,,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AGRO 28,,3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AEE 412,,4,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AEE 413,,34; 3,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AEE 350,,3,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AEE 349,,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AEE 313,,2,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AEE 311,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AEE 295,,3; 1,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,ESL  15,", ,",3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
Agricultural and Extension Education B.S.,AG 150,,2,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/agricultural-sciences/agricultural-extension-education-bs/
