major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Architectural Engineering B.A.,ARTH 202N,; †,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/architectural-engineering-bae/
Architectural Engineering B.A.,EDSGN 100,,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/architectural-engineering-bae/
Architectural Engineering B.A.,ENGL 202C,; ‡†,3,1,0,1,Fifth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/architectural-engineering-bae/
Architectural Engineering B.A.,LARCH  60,or  †,3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/architectural-engineering-bae/
Architectural Engineering B.A.,ARCH 130B,,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/architectural-engineering-bae/
Architectural Engineering B.A.,ARCH 130A,,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/architectural-engineering-bae/
Architectural Engineering B.A.,MATH 230,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/architectural-engineering-bae/
Architectural Engineering B.A.,LARCH 60,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/architectural-engineering-bae/
Architectural Engineering B.A.,CHEM 111,,1,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/architectural-engineering-bae/
Architectural Engineering B.A.,ECON 102,or  104 †,3,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/architectural-engineering-bae/
Architectural Engineering B.A.,EMCH 211,,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/architectural-engineering-bae/
Architectural Engineering B.A.,EMCH 212,,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/architectural-engineering-bae/
Architectural Engineering B.A.,EMCH 213,,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/architectural-engineering-bae/
