major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Art B.A.,ART 211|ART 220|ART 223|ART 230|ART 240|ART 250|ART 260|ART 280|ART 296|ART 297|ART 299|DART 202|DART 206|PHOTO 100|PHOTO 201,,15.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 211|ART 220|ART 223|ART 230|ART 240|ART 250|ART 260|ART 280|ART 296|ART 297|ART 299|DART 202|DART 206|PHOTO 100|PHOTO 201,,15.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 211|ART 220|ART 223|ART 230|ART 240|ART 250|ART 260|ART 280|ART 296|ART 297|ART 299|DART 202|DART 206|PHOTO 100|PHOTO 201,,15.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 211|ART 220|ART 223|ART 230|ART 240|ART 250|ART 260|ART 280|ART 296|ART 297|ART 299|DART 202|DART 206|PHOTO 100|PHOTO 201,,15.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 211|ART 220|ART 223|ART 230|ART 240|ART 250|ART 260|ART 280|ART 296|ART 297|ART 299|DART 202|DART 206|PHOTO 100|PHOTO 201,,15.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ENGL 202A,",  202B,  202C,",3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ARTH 112,; †,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 122Y,,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,CAS 100A,",  100B,",3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ARTH 111,; †,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 111,,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ART 110,,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
Art B.A.,ENGL 15,",  15A,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-ba/
