major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Art Education B.S.,ART 211|ART 220|ART 223|ART 230|ART 240|ART 250|ART 260|ART 280|ART 296|ART 297|ART 299|DART 202|DART 206|PHOTO 100|PHOTO 101|PHOTO 200|PHOTO 201/ARTH 250|PHOTO 202,,12.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,ART 211|ART 220|ART 223|ART 230|ART 240|ART 250|ART 260|ART 280|ART 296|ART 297|ART 299|DART 202|DART 206|PHOTO 100|PHOTO 101|PHOTO 200|PHOTO 201/ARTH 250|PHOTO 202,,12.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,ART 211|ART 220|ART 223|ART 230|ART 240|ART 250|ART 260|ART 280|ART 296|ART 297|ART 299|DART 202|DART 206|PHOTO 100|PHOTO 101|PHOTO 200|PHOTO 201/ARTH 250|PHOTO 202,,12.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,ART 211|ART 220|ART 223|ART 230|ART 240|ART 250|ART 260|ART 280|ART 296|ART 297|ART 299|DART 202|DART 206|PHOTO 100|PHOTO 101|PHOTO 200|PHOTO 201/ARTH 250|PHOTO 202,,12.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,AED 495A|AED 495B|AED 495C|AED 495D,,15.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,AED 495A|AED 495B|AED 495C|AED 495D,,15.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,AED 495A|AED 495B|AED 495C|AED 495D,,15.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,AED 495A|AED 495B|AED 495C|AED 495D,,15.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,AED 495A|AED 495B|AED 495C|AED 495D,,15.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,APLNG 200|APLNG 210|CI 280,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,SPLED 403B,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,SPLED 400,,4.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,PSYCH 100,; †,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,ENGL 202A,",  202B,  202C,",3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,AED 101S,; †,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,CAS 100A,",  100B,",3.0,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,ARTH 112,; †,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,EDPSY 14,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,ART 122Y,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,ARTH 111,,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,AED 211,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,CI  280,", ,",3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,ART 111,,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,ART 110,,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,ENGL 15,",  15A,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,AED 401,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,AED 322,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,AED 225,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
Art Education B.S.,AED 489,,3.0; 4.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/art-education-bs/
