major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Astronomy and Astrophysics B.S.,CMPEN  271,,3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,CMPEN  331,,3,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,CMPSC 121,",  201,",3,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,MATH  451,,3,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,ENGL 202C,; ‡†,3,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,CMPSC 122,,3,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,ASTRO 291,,3,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,CAS  100B,"CAS 100, , ,",3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,CAS  100C,"CAS 100, , ,",3,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,ASTRO 320,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,ASTRO 292,,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,CMPSC 221,,3,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,MATH 230,,4,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,PHYS 212,; †,4,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,PHYS 213,,2,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,PHYS 214,,2,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,PHYS 211,; †,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,MATH 251,,4,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,PHYS 237,,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,MATH 141,; ‡†,4,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,MATH 140,; ‡†,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,CHEM 112,,3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,CHEM 111,; †,1,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,CHEM 110,; †,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,ASTRO 20,,2,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,ESL  15,", ,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
Astronomy and Astrophysics B.S.,ENGL 15,",  30H,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/astronomy-astrophysics-bs/
