major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Biological Engineering B.S.,EDSGN 100,,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,MATH 231,,2.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,EMCH 213,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,CHEM 110,; †,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,PHYS 212,; †,4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,PHYS 211,; †,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,MATH 251,1,4.0,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,MATH 141,; or  141E ‡†,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,MATH 140,; or  140E ‡†,4.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,EMCH 212,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,CHEM 111,,1.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,STAT 240,",  250,  318,  401,  418,",3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,CAS 100A,",  100B,",3.0,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,EMCH 211,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,ENGL 15,",  30H,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 460W,,2.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,ESL  15,", ,",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,ME  320,,3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 466W,,2.0,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,IE  424,", , , , , or",3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 305,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 302,,4.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 303,",  306,",3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,ME 300,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 392,; ‡†,2.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 308,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 391,; ‡†,2.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 404,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 301,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
Biological Engineering B.S.,BE 1,†,1.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biological-engineering-bs/
