major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Biology B.S.,MATH 140|MATH 140B|MATH 140H,,4.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,BIOL 110|BIOL 110H|BIOL 110S,,4.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,STAT 200|STAT 240|STAT 250,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,CAS  100B,"CAS 100, , ,",3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,CHEM 112H,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,CHEM 113B,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,MATH 141B,or  141‡†,4.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,BIOL 220W,,4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,CHEM 213W,,2.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,ENGL 202C,",  202A,  202B,",3.0,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,CHEM 110H,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,BIOL 240M,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,BIOL 230W,,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,BIOL 230M,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,CAS  100C,"CAS 100, , ,",3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,BIOL 220M,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,BIOL 240W,,4.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,PHYS 251,,4.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,CHEM 212,or  203,3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,CHEM 210,or  202,3.0,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,CHEM 111,; †,1.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,PHYS 250,†,4.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,ESL  15,", ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
Biology B.S.,ENGL 15,",  30H,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/eberly-science/biology-bs/
