major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Biomedical Engineering B.S.,EDSGN 100,,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,ENGL 202C,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,BIOL 240W,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,CMPSC 200,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,MATH 140,; or  140E ‡†,4.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,BIOL 142,"&; ,  162,",3.0; 1.0,0,1,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,EMCH 210,,5.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,ECON 104,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,ECON 102,; or  104 †,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,CHEM 111,,1.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,CHEM 112,,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,BIOL 141,,3.0,0,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,ENGL 30H,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,CHEM 202,or  210,3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,CHEM 113,,1.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,CAS 100B,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,BME 450W,,3.0,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,MATH 230,,4.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,MATH 141,; or  141E ‡†,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,BIOL 164,&,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,BIOL 162,&,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,PHYS 212,,4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
Biomedical Engineering B.S.,CAS 100A,; or  100B ‡†,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/biomedical-engineering-bs/
