major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Chemical Engineering B.S.,MICRB  251,,3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,ENGL 202C,; ‡†,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,EDSGN 100,,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,MATH 140,; or  140E ‡†,4.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHEM 112,,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHEM 113,,1.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,ECON 102,; or  104 †,3.0,0,1,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHEM 210,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHEM 213,,2.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHEM 212,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,ENGL 30H,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHEM 457,,2.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,ECON 104,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 480W,,3.0,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHEM 111,,1.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,MATH 231,,2.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHEM 110,; †,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CAS 100B,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,MATH 141,; or  141E ‡†,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,PHYS 212,; )†,4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CAS 100A,; or  100B ‡†,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,PHYS 211,; )†,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,MATH 251,,4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 220,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 320,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 100,†,1.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 210,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 230,,1.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 300,,1.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,ESL  15,", , or",3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,ENGL 15,"; ,  30H,",3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 430,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
Chemical Engineering B.S.,CHE 340,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/chemical-engineering-bs/
