major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Civil Engineering B.S.,CE 100S|1 credit of First-Year Seminar|Elective|ECON 14|ECON 102|ECON 104,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,STAT  401,,3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,EDSGN 100,,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,CMPSC 200,; or  201,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,CMPSC 201,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,ENGL 202C,; ‡†,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,EMCH 213,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,MATH 141,; or  141E ‡†,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,CAS 100B,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,CAS 100A,; or  100B ‡†,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,EMCH 212,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,EMCH 211,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,MATH 220,,2.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,CHEM 111,,1.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,MATH 251,,4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,PHYS 212,; )†,4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,MATH 140,; or  140E ‡†,4.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,STAT 401,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,CHEM 110,; †,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,ENGL 30H,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,MATH 252,or &,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,PHYS 211,; )†,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,ENGL 15,"; ,  30H,",3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,GEOSC 1,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,ESL  15,", ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,CE 332,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,IE 424,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,CE 475,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,CE 310,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,CE 321,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,CE 360,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,CE 335,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,CE 336,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,CE 337,,1.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,CE 370,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
Civil Engineering B.S.,CE 340,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/civil-engineering-bs/
