major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Communication Arts and Sciences B.S.,CAS 203|CAS 210|CAS 215|CAS 220,,9.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/communication-arts-sciences-bs/
Communication Arts and Sciences B.S.,CAS 203|CAS 210|CAS 215|CAS 220,,9.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/communication-arts-sciences-bs/
Communication Arts and Sciences B.S.,CAS 203|CAS 210|CAS 215|CAS 220,,9.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/communication-arts-sciences-bs/
Communication Arts and Sciences B.S.,ENGL 202A,",  202B,  202C,",3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/communication-arts-sciences-bs/
Communication Arts and Sciences B.S.,CAS 101N,,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/communication-arts-sciences-bs/
Communication Arts and Sciences B.S.,CAS 301,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/communication-arts-sciences-bs/
Communication Arts and Sciences B.S.,CAS 303,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/communication-arts-sciences-bs/
Communication Arts and Sciences B.S.,CAS 304,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/communication-arts-sciences-bs/
Communication Arts and Sciences B.S.,CAS 311,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/communication-arts-sciences-bs/
Communication Arts and Sciences B.S.,ENGL 15,),3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/communication-arts-sciences-bs/
