major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Computer Engineering B.S.,CMPEN 411|CMPEN 416|CMPEN 417|CMPEN 454|CMPEN 455|CMPEN 471|CMPEN 472|CMPEN 473|CMPEN 475|EE 453|EE 456,,6.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,CMPEN 411|CMPEN 416|CMPEN 417|CMPEN 454|CMPEN 455|CMPEN 471|CMPEN 472|CMPEN 473|CMPEN 475|EE 453|EE 456,,6.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,CMPEN 270|CMPEN 271|CMPEN 275,,4.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,ECON 14|ECON 102|ECON 104,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,STAT 418 | MATH 418,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,CMPEN 482W,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,CMPEN 362,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,CMPSC 221,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,CMPSC 131,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,CMPSC 122,; or  132,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,CMPSC 121,; or  131,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,CMPSC 360,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,CMPSC 132,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,CMPEN 431,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,ENGL 202C,; ‡†,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,CMPSC 473,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,CMPEN 331,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,CMPSC 465,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,CMPSC 311,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,MATH 220,,23.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,ENGL 30H,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,PHYS 214,,2.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,PHYS 211,; ‡†,4.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,MATH 250,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,MATH 231,,2.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,MATH 141,; ‡†,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,MATH 140,; ‡†,4.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,PHYS 212,; †,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,CHEM 110,; †,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,CAS 100B,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,CAS 100A,; or  100B‡†,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,ENGL 15,; ‡,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,EE 353,; 2,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,EE 210,,4.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
Computer Engineering B.S.,EE 310,,4.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-engineering-bs/
