,major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url,course_title_cleaned
0,Computer Science B.S.,CMPEN 362|CMPEN 431|CMPEN 454|CMPSC 442|CMPSC 443|CMPSC 444|CMPSC 450|CMPSC 451|CMPSC 455|CMPSC 456|CMPSC 458|CMPSC 467|CMPSC 471|CMPSC 475|EE 456,,6.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
1,Computer Science B.S.,CMPEN 362|CMPEN 431|CMPEN 454|CMPSC 442|CMPSC 443|CMPSC 444|CMPSC 450|CMPSC 451|CMPSC 455|CMPSC 456|CMPSC 458|CMPSC 467|CMPSC 471|CMPSC 475|EE 456,,6.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
2,Computer Science B.S.,STAT 318 | MATH 318,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
3,Computer Science B.S.,STAT 415 | MATH 415,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
4,Computer Science B.S.,STAT 418 | MATH 418,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
5,Computer Science B.S.,STAT 414 | MATH 414,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
6,Computer Science B.S.,STAT 319 | MATH 319,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
7,Computer Science B.S.,CMPSC 431W,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
8,Computer Science B.S.,CMPSC 483W,,3.0,0,1,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
9,Computer Science B.S.,CMPSC 122,,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
10,Computer Science B.S.,ENGL 137H,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
11,Computer Science B.S.,ENGL 138T,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
12,Computer Science B.S.,ENGL 202C,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
13,Computer Science B.S.,CMPEN 331,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
14,Computer Science B.S.,CMPSC 464,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
15,Computer Science B.S.,CMPSC 473,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
16,Computer Science B.S.,CMPSC 465,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
17,Computer Science B.S.,CMPSC 461,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
