major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Criminology B.S.,AFAM 100N|AFAM 101N|AFAM/SOC/WMNST 103|AMST/WMNST 104|AMST 105|AMST 432|ANTH 146|CAS 271N|CAS 422|CAS 455|CAS 471|CMLIT 101|CRIM 451|CRIMJ/WMNST 453|ENGL 135|ENGL 139|ENGL 462|HIST 154|LER/WMNST 136|PHIL 9|PSYCH 432|SOC 119N|SOC 409|SOC 419|SOC 429|WMNST 1,,6.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/criminology-bs/
Criminology B.S.,AFAM 100N|AFAM 101N|AFAM/SOC/WMNST 103|AMST/WMNST 104|AMST 105|AMST 432|ANTH 146|CAS 271N|CAS 422|CAS 455|CAS 471|CMLIT 101|CRIM 451|CRIMJ/WMNST 453|ENGL 135|ENGL 139|ENGL 462|HIST 154|LER/WMNST 136|PHIL 9|PSYCH 432|SOC 119N|SOC 409|SOC 419|SOC 429|WMNST 1,,6.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/criminology-bs/
Criminology B.S.,CRIM 430|CRIM/CRIMJ 432|CRIM 435|CRIM/CRIMJ 451|CRIM/CRIMJ/WMNST 453|CRIM/CRIMJ/SOC 467|CRIM 490,,6.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/criminology-bs/
Criminology B.S.,CRIM 430|CRIM/CRIMJ 432|CRIM 435|CRIM/CRIMJ 451|CRIM/CRIMJ/WMNST 453|CRIM/CRIMJ/SOC 467|CRIM 490,,6.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/criminology-bs/
Criminology B.S.,CRIM/CRIMJ 12 | SOC 12,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/criminology-bs/
Criminology B.S.,CRIM 100 | CRIMJ 100,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/criminology-bs/
Criminology B.S.,CMPSC  100,", ,",3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/criminology-bs/
Criminology B.S.,CMPSC  101,", , or",3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/criminology-bs/
Criminology B.S.,CRIM 250W,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/criminology-bs/
Criminology B.S.,STAT 200,; ‡†,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/criminology-bs/
Criminology B.S.,CRIM 249,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/criminology-bs/
