major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Data Sciences B.S.,STAT 318 | MATH 318,",  414,",3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,MATH  311W,", , or",3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,CMPSC  360,", ,",3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,CMPSC 131,,3.0,0,1,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,CMPSC 122,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,CMPSC 121,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,CMPSC 132,,3.0,0,1,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,STAT 380,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,STAT 184,,2.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,MATH 220,,2.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,MATH 141,,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,MATH 140,; ‡,4.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,IST  494,", , , , , , , or",3.0,0,0,1,Fourth Year,Spring; Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,ENGL 15,‡,3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,DS  402,", , , , , , ,",3.0,0,0,1,Fourth Year,Fall; Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,DS 340W,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,DS 440W,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,PSU 17,,1.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,DS 435,,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,DS 330,,3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,DS 320,,3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,DS 310,,3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,DS 305,,3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,DS 300,,3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,DS 220,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,DS 200,,4.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
Data Sciences B.S.,DS 410,,3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/information-sciences-technology/data-sciences-bs/
