major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Education and Public Policy B.S.,EDPSY 101|STAT 100|STAT 200,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,CAS 222N 211 | CIVCM 211N,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,EDTHP 115,; †,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,EDTHP 200,; †,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,EDTHP 394,,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,EDTHP 420,,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,STAT  200,", ,",34.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,STAT  100,", ,",34.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,ENGL 202A,or  202B,3.0,0,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,RSOC  11,or †,3.0,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,PLSC  10,PLSC 2,3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,EDUC 100,,1.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,ECON 102,; †,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,PLSC 10,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,HIST 21,; †,3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,RSOC 11,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,SOC 207,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,ENGL 15,or  30H †,3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,SOC 23,; or  207,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
Education and Public Policy B.S.,SOC 5,; †,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/education/education-public-policy-bs/
