major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Elementary and Kindergarten Education B.S.,EDTHP 115A,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,SSED 430W,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,SPLED 400,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,SCIED 458,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,MUSIC 241,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,MTHED 420,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,KINES 126,,1.5,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,LLED 402,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,EDPSY 14,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,ENGL 100,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,MATH 200,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,LLED 400,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,LLED 401,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,AED 303,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,HIST 20,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,CI 495F,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,CI 495D,,12.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,CI 495B,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,HIST 21,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
Elementary and Kindergarten Education B.S.,CI 295,,2.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/education/elementary-kindergarten-education-bs/
