major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Energy Business and Finance B.S.,ENGL 15|ENGL 30H|ENGL 137H|ESL 15,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,CMPSC 101|CMPSC 200|CMPSC 201,,3.0,1,0,1,,,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,EGEE 401|EME 444|METEO 469,,6.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,EGEE 401|EME 444|METEO 469,,6.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,BA 243|BLAW 243|ERM 411,,3.0,0,1,1,,,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,METEO  469,", , or",3.0,0,0,1,Fourth Year; Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,EGEE  120,,3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,EMSC 100S,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,ENGL 202C,; or  202D ‡†,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,STAT  401,,3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,ACCTG 211,,4.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,ENGL 202D,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,CAS  100C,", , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,CAS  100B,", , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,EGEE 120,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,ERM  411,", ,",34.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,MATH 141,; or  141G ‡†,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,EME  444,", ,",3.0,0,0,1,Fourth Year; Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,MATH 140,; or  140G ‡†,4.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,ECON 102,; †,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,ECON 302,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,EBF 304W,,3.0,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
Energy Business and Finance B.S.,STAT 401,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/energy-business-finance-bs/
