major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Engineering Science B.S.,CMPSC  201,,3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,EMCH 210H,,5,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,EMCH 302H,,4,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,EMCH 212H,,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ENGL 202C,; ‡†,3,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,CMPSC 201,,3,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,EDSGN 100,,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,PHYS 212,; )†,4,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ECON 104,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ECON 102,; or  104 †,3,0,1,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,CHEM 111,,1,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,CHEM 110,; †,3,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,PHYS 214,,2,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ENGL 30H,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ESC 261M,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,CAS 100A,; or  100B ‡†,3,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,PHYS 211,; )†,4,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,MATH 140,; or  140E ‡†,4,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,MATH 141,; or  141E ‡†,4,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,CAS 100B,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,MATH 220,,2; 23,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,MATH 230,,4,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,MATH 251,,4,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ESC 414M,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ESC 409,,1,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ESL  15,", ,",3,0,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ESC 404,,3,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ESC 407,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ENGL 15,"; ,  30H,",3,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ESC 411,,2,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ESC 433,,1,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ESC 312,,3,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,ECON 14,,3,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
Engineering Science B.S.,EE 210,,4,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/engineering-science-bs/
